,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/01 01:00:00+00,,22.700000,10.500000,16.300000,18.400000,10.300000,15.400000,15.300000,103.200000,121.800000,24.400000,23.400000,9.100000,24.900000,73.700000,3.100000,1.800000,33.700000,14.200000,25,0.300000,82.500000,12.500000,15.800000,66.900000,9.100000,8.400000,11.500000,0.500000,12.900000,0.100000,14.100000,11.300000,22.400000,12.400000,5.100000,48.400000,18.500000,,4.500000,5
2021/01/01 02:00:00+00,,22.500000,11.900000,12.400000,23,25.500000,18.100000,10.500000,97.500000,100.500000,32.200000,23.700000,4.400000,20,69.600000,2.300000,4.400000,20.800000,14.400000,26.400000,4.200000,74.200000,5.900000,17.300000,34.900000,15.600000,5.600000,7.400000,0.500000,13.300000,0.100000,12.400000,10.100000,28.900000,15.600000,5.700000,65.900000,14.500000,,6.800000,6
2021/01/01 03:00:00+00,,47.400000,21.800000,10.400000,28.700000,87.400000,16.900000,15.100000,105.700000,109.900000,27.600000,25.400000,8.900000,20.600000,63.400000,2.300000,5,21.500000,18.600000,21.800000,20.200000,63.500000,3.100000,21.400000,53.400000,13.900000,7.800000,5.100000,3.900000,14.400000,0,5.200000,12.600000,8.500000,13.300000,7.200000,28.100000,18.700000,,7.200000,7
2021/01/01 04:00:00+00,,26.700000,20.300000,7.300000,39.100000,72.100000,15.200000,16.400000,90.300000,111.600000,29.500000,23.800000,11,14.600000,39.900000,4.200000,0.800000,34.100000,27.700000,20.100000,0.400000,43,4.500000,18.200000,35.700000,23.100000,8.600000,4.700000,5.500000,11.100000,0,12.300000,21.200000,7.500000,9.200000,5.100000,41.600000,16.600000,,8.600000,8
2021/01/01 05:00:00+00,,29.700000,15.500000,6,52.700000,106.400000,16.200000,14.800000,96.400000,112.300000,28.100000,18.400000,3.600000,18.100000,16,4.700000,0.600000,17.300000,24.100000,23.300000,0.200000,30,3.400000,13.200000,34,11.100000,13.400000,4.900000,5.900000,12.800000,0.100000,19.300000,21,7.100000,5,4,21.600000,19.600000,,5.500000,9
2021/01/01 06:00:00+00,,29.600000,15.300000,8.400000,121.200000,65.400000,18.900000,22.500000,144.700000,140.200000,62.600000,8,2.600000,13.700000,6.300000,4.400000,2.100000,11.600000,24.900000,19.100000,0.100000,31.900000,9.900000,22.800000,51.500000,11.500000,7.300000,3.100000,0.800000,13.900000,0.100000,12.200000,13.300000,7.500000,11.300000,5.500000,15.200000,28.400000,,5.600000,10
2021/01/01 07:00:00+00,,32.100000,4.400000,12.900000,69.200000,52.300000,23.800000,8.100000,142.400000,111.300000,50.400000,6.800000,3.900000,22,5.500000,6.100000,3.100000,7.300000,27.100000,16.800000,0.300000,10.800000,11.300000,30.500000,45.600000,12.800000,6.100000,3.200000,0.400000,11,0.200000,4.900000,4.400000,11.900000,13.100000,11.400000,13.100000,36.900000,,8.200000,11
2021/01/01 08:00:00+00,,29.900000,6.300000,29.300000,51.900000,31.200000,16.100000,4.800000,127.600000,59.400000,43.100000,3.300000,8.600000,21.100000,8.700000,4.900000,3,9.700000,47.500000,18.800000,1.600000,13.700000,10.600000,25.800000,47.500000,12.200000,3.600000,8.300000,1.500000,11.800000,0.500000,0.800000,7.300000,12.100000,14.400000,9.800000,16.200000,10.300000,,6.400000,12
2021/01/01 09:00:00+00,,46.100000,7.400000,28.400000,78.700000,83.700000,16.300000,4.200000,138.800000,63.100000,38,4.800000,14.700000,26,12,12.700000,5.100000,14.200000,40.700000,9.400000,0.800000,17.200000,10.600000,33.700000,53.300000,19.900000,7,10.800000,3.300000,15.600000,2.800000,7.800000,4,4.800000,13.600000,11.700000,12.900000,13.300000,,10.300000,13
2021/01/01 10:00:00+00,,60,10.900000,30.200000,116.400000,42.900000,18.700000,5.400000,75.600000,60,53.200000,5.300000,11,26.700000,15.100000,11.200000,6.500000,14.800000,46.700000,8.400000,2,18.200000,14.700000,26.300000,63.400000,16,9.200000,14.400000,7.400000,13.700000,5.300000,9.600000,4.300000,5.600000,14.300000,8.500000,10.600000,15.500000,,11,14
2021/01/01 11:00:00+00,,68,10.500000,21.300000,191,63.300000,29.900000,3.300000,91.100000,54.200000,45.600000,5.700000,9.200000,27,,10.400000,7.200000,9.800000,24.100000,7.700000,2.300000,12.100000,11.400000,11.700000,45.300000,14.100000,8.200000,8.300000,4.600000,9.200000,3,4,3.500000,7.900000,9.600000,7.600000,9.300000,9.300000,,8.200000,15
2021/01/01 12:00:00+00,,67.800000,12.300000,27.800000,223,68,24.800000,3.600000,126.200000,71.400000,51.300000,4.800000,6.900000,26.500000,9.600000,11,4.900000,10.800000,20.700000,10.500000,1.600000,11.900000,15.500000,14.200000,33.600000,10.900000,6.400000,6.700000,2.500000,8.600000,3.100000,1.200000,3.600000,6.300000,12.400000,4.400000,7.100000,4.700000,,8,16
2021/01/01 13:00:00+00,,66.700000,8.300000,30,122.400000,69.100000,2.800000,3.100000,120.900000,59.600000,54.600000,,9.200000,38,7,9.700000,4.100000,9.400000,17.300000,12.500000,1.700000,6,13.600000,19.500000,6.400000,10,4.600000,4.500000,2.600000,9.800000,3.900000,0.800000,2.600000,7.100000,11.200000,3.100000,4.800000,3.300000,,6.800000,17
2021/01/01 14:00:00+00,,70.700000,9.300000,31.800000,71.200000,56.400000,2.200000,3.300000,96.800000,64.200000,47.800000,3.700000,14.200000,40.100000,6.800000,3.700000,5.400000,9.400000,7.500000,3.800000,1.400000,3.700000,8.200000,12.300000,2.400000,8.200000,5.300000,7.700000,3.200000,9.500000,2.700000,0.400000,2.700000,4.700000,9.800000,1.800000,4.300000,3.800000,,4.900000,18
2021/01/01 15:00:00+00,,53.500000,11.400000,34.300000,76.500000,69.100000,1.500000,2,132.200000,74.600000,57,2.700000,15.500000,45.400000,4.800000,3.500000,2.600000,7.800000,3.200000,2.900000,1.200000,3.800000,8.900000,5.700000,3,5.100000,2.800000,5.600000,2.900000,5.400000,3,0.300000,2.300000,4.700000,6.600000,1.600000,3.200000,5,,3,19
2021/01/01 16:00:00+00,,63.900000,10.600000,32.900000,116.900000,43.200000,2.700000,1.200000,101.100000,100.700000,58.100000,2,12,33.800000,4,2.900000,1.900000,3.600000,2.100000,5.900000,2.300000,5,12.700000,4.700000,2.500000,3.500000,1.600000,3.500000,0.800000,5.900000,1,0.400000,2.500000,5.800000,7.200000,0.900000,2.100000,3.600000,,1.800000,20
2021/01/01 17:00:00+00,,68.900000,10,38.900000,221.400000,74.100000,3.200000,1.100000,118.400000,109.900000,55.500000,1.400000,26,37.200000,4.600000,3.400000,1.300000,4.500000,1.200000,6.100000,7.900000,7.400000,58.300000,8.200000,1,3.600000,2.400000,2.600000,0,4.700000,0.900000,2.600000,3.600000,11.800000,16.900000,0.700000,5.100000,5.100000,,0.600000,21
2021/01/01 18:00:00+00,,72.100000,11.700000,37,251.200000,46.300000,30.200000,4.600000,108.400000,142.600000,89.600000,3.400000,16.400000,34.900000,9.100000,3.600000,1.400000,5.600000,2,38.900000,39.500000,13.400000,62.900000,6.900000,2.100000,3.900000,4.100000,4.600000,0,7.900000,0.600000,16.800000,2.400000,34.600000,7.100000,5,19.600000,7.800000,,1.500000,22
2021/01/01 19:00:00+00,,38.900000,16,37.300000,247.900000,53.500000,58.100000,37,167.200000,117.600000,89.700000,18.200000,10,40.600000,35.900000,9,0.800000,8.100000,4.400000,105.500000,48.300000,36.500000,141.900000,10.400000,17.200000,7.700000,5.700000,4.300000,0.300000,17.700000,0.500000,15.600000,11.700000,35,4.300000,24.500000,32.300000,25.500000,,2,23
2021/01/01 20:00:00+00,,27.200000,12.300000,26.500000,157.300000,57,107.100000,34.700000,259,142.800000,52.500000,60.600000,8.600000,24.900000,59.400000,17.300000,1.400000,13,35.100000,72.400000,27,66.700000,103.100000,13.600000,23.200000,20.200000,7.600000,5,0,24.400000,0.100000,6.200000,37,73.600000,8.200000,27.700000,75.800000,34.200000,,14.900000,24
2021/01/01 21:00:00+00,,23.200000,6.800000,33.600000,96.700000,13.200000,53.300000,25.500000,143.700000,120.200000,61.100000,65,6.800000,18.500000,45.800000,7.600000,1,12.600000,40.200000,34.200000,26.200000,47.600000,92.800000,11.800000,29.200000,13.700000,3.700000,4.100000,1.300000,28,0.200000,2.200000,26.600000,69.800000,13.900000,18,93.100000,39.200000,,12.800000,25
2021/01/01 22:00:00+00,,19.900000,8.200000,14.500000,56.800000,34.900000,47,34.500000,119.600000,143.400000,45.300000,42,7.200000,13.600000,50.300000,5.800000,1.300000,12.900000,58.200000,29.200000,8.300000,36.300000,62.500000,12,45.100000,11.300000,5.200000,6.100000,1.400000,14.200000,0,0,40.500000,55.700000,11.100000,5.200000,68.900000,31.900000,,5.300000,26
2021/01/01 23:00:00+00,,22.300000,5.600000,19.500000,42.100000,36.600000,37.600000,30.700000,78.300000,112.300000,37.900000,30.600000,4.900000,11.500000,36.100000,6.700000,0.800000,7.500000,38.200000,32.400000,9,24,60.300000,14,62.900000,9.800000,6,4.300000,1.300000,16.700000,0.200000,5.300000,39.400000,45.700000,10.800000,9.400000,41.100000,29.500000,,3.800000,27
2021/01/02 00:00:00+00,,27.100000,6.200000,17.600000,31.900000,69.300000,34.500000,22.200000,73.400000,99.900000,15.300000,36.400000,8.700000,14.100000,23.700000,13.900000,0.700000,10.900000,31,44.500000,4.500000,31.900000,45.700000,17.800000,60.300000,13.100000,3.700000,3,1.200000,19.400000,0.200000,1.700000,37.200000,36.600000,10.200000,9.800000,35.800000,17.300000,,3.300000,28
2021/01/02 01:00:00+00,,26.200000,17.500000,18.900000,30.900000,63.400000,30.600000,26.700000,89.400000,85.500000,20.200000,43.700000,10.800000,12.100000,22.100000,7.100000,0.800000,20.800000,27.400000,51.900000,3.200000,20.600000,34.400000,10.900000,46.300000,17.200000,3.800000,4.900000,0.800000,18,0.900000,4,24.800000,23.800000,20.800000,8.300000,44.600000,11.600000,,5.900000,29
2021/01/02 02:00:00+00,,23.200000,13.400000,18.600000,23.800000,63.700000,31.300000,37.500000,92.200000,67.500000,23.200000,56.300000,13.300000,8,23.800000,10.900000,2.100000,28.900000,25.100000,51.600000,1,15.600000,14.100000,13.300000,23.600000,20.300000,10.200000,7.800000,0.100000,31.800000,1.400000,0.100000,20.300000,27.800000,18.200000,11.900000,67.800000,19.300000,,7.900000,30
2021/01/02 03:00:00+00,,17.700000,23.400000,12.900000,70.800000,99.700000,36.600000,32.500000,87.300000,104,42,57.600000,16.300000,9.700000,24.500000,16.600000,0.900000,22.700000,26.300000,44.600000,0.300000,14.400000,7.700000,9,16.500000,27.600000,21.500000,6.800000,3.400000,34.200000,5.600000,0.100000,34.300000,30,17.600000,11.100000,69.900000,25.900000,,10.700000,31
2021/01/02 04:00:00+00,,28.300000,14.900000,21,84.800000,72.900000,40.400000,48.700000,124.400000,126.700000,32.900000,53.700000,11.700000,17.900000,32.900000,13,15.400000,17.300000,28.300000,48.100000,7.300000,22,5.400000,7.200000,40.900000,29,24.900000,8.300000,10.100000,29,10.100000,30.800000,33.900000,28.300000,22.400000,15.300000,78.800000,35.400000,,10.700000,32
2021/01/02 05:00:00+00,,37.300000,23,29.400000,66.900000,119.700000,40,46.700000,167.400000,154,39.900000,46.900000,9.100000,34.100000,40.700000,14,0.900000,17,32,51.500000,1.800000,27.100000,7.100000,9,57.700000,30.400000,21.800000,20.400000,14,26.300000,10.100000,26.800000,34.800000,35.200000,23.600000,16,77.700000,36.900000,,14.700000,33
2021/01/02 06:00:00+00,,56,52.400000,42.400000,102.200000,187.100000,43.800000,59.900000,133.900000,216.800000,58.700000,45.100000,15.800000,51.300000,61.600000,13.300000,0.800000,39.200000,36,55,17.800000,29.300000,11.900000,13.700000,66.900000,44.200000,20.400000,22.300000,25.800000,34.500000,7,31.600000,38.700000,57.600000,36.100000,28.900000,91.100000,62.600000,,18.300000,34
2021/01/02 07:00:00+00,,63.300000,81.700000,69.300000,208.400000,303,47.500000,85.700000,177.700000,238.800000,68.400000,62.800000,38.600000,53.400000,72.800000,20.200000,0.900000,69,47.400000,59.400000,41.700000,37.500000,6.900000,14.500000,76.900000,60.200000,29.600000,27.300000,31.100000,38.500000,3.700000,58.400000,53.600000,79.800000,48,29.600000,97.800000,84.800000,,30.200000,35
2021/01/02 08:00:00+00,,72.300000,85.500000,94.200000,217.800000,266,49,74.300000,262.700000,233.500000,108.600000,91.100000,59.400000,81.500000,71.400000,36.100000,1.600000,85.800000,75.500000,59.600000,93.500000,47.100000,33.100000,26.900000,89.200000,78.500000,25.900000,40.500000,41,41.800000,1.500000,37.800000,59.800000,108.200000,47.400000,16.900000,98.400000,101,,39.300000,36
2021/01/02 09:00:00+00,,117.900000,145.700000,91.200000,238.600000,330.500000,59.300000,70.400000,274.100000,254.200000,139,82.600000,65.900000,111,106.600000,54.700000,0.900000,96,71.600000,62.400000,111.700000,73.300000,21.500000,57.900000,103.700000,82.100000,31.500000,60.400000,64.200000,45.700000,5,21.600000,68.300000,128,51.900000,18.700000,158.100000,89.400000,,47.700000,37
2021/01/02 10:00:00+00,,113.500000,92.700000,83,239.100000,68.100000,40.100000,63,202.600000,267.100000,109.100000,57.900000,61.400000,105.800000,,45.900000,2.900000,74.500000,90.800000,54.500000,132.300000,98.900000,36.800000,36.600000,97.400000,76.300000,30.700000,49.200000,28.700000,37.500000,8.200000,23,88.200000,114.800000,61.600000,26.600000,98,78.300000,,45.600000,38
2021/01/02 11:00:00+00,,119.600000,32.200000,67.700000,231.500000,52.400000,52.200000,46.300000,175.500000,291.100000,102,41.800000,39.200000,78.900000,104.200000,35.800000,6.800000,73.400000,65.300000,56,96.700000,73.700000,52.300000,37.500000,87.400000,67.300000,33.200000,25.200000,26.200000,37.600000,10.600000,8.200000,68.700000,98.200000,47.600000,26.400000,54.300000,54,,37,39
2021/01/02 12:00:00+00,,125.500000,29.100000,45.100000,149.500000,33.500000,54.200000,39.500000,161.700000,288.600000,93.400000,45.500000,26.700000,67.400000,84.600000,26.900000,7.400000,39.700000,26.200000,63.400000,77.100000,47.800000,58.800000,39.700000,65.700000,28.100000,30.300000,19.400000,14.500000,48.400000,9,8.500000,68.700000,60.800000,41.600000,18.700000,39.300000,40.100000,,19.500000,40
2021/01/02 13:00:00+00,,106.300000,26,60,145.300000,29.400000,32.300000,40.100000,142.600000,261.800000,84.800000,50.800000,22.100000,62.600000,33.200000,16.800000,11,32.600000,32,54.700000,49.100000,43,35,36.400000,41.100000,18.100000,26.100000,28.500000,14,49.900000,9.500000,4.600000,72.100000,50,28.100000,17.800000,38.500000,26.900000,,13.700000,41
2021/01/02 14:00:00+00,,96,22.700000,50.700000,161.800000,36.500000,24.600000,41.600000,133.500000,278.500000,89.400000,43.100000,31.500000,73.200000,19.400000,11.700000,10,41.600000,16.200000,38.400000,15.100000,37.700000,25.500000,22.600000,17.500000,16.900000,15.800000,17.800000,13.300000,42.300000,8.800000,5.700000,55.400000,26.800000,24,12.800000,39.900000,15,,14,42
2021/01/02 15:00:00+00,,130.700000,36,62.200000,189.300000,31.300000,21.200000,33.200000,195.100000,275,80.400000,40.600000,25.300000,63.200000,15.200000,11.600000,7.300000,34.600000,13.700000,24.900000,10.100000,18.100000,25.200000,23,9.900000,15.200000,13.500000,22.100000,9,29.500000,4.900000,10.300000,42.100000,17.300000,54.400000,9,34.300000,16.200000,,15.300000,43
2021/01/02 16:00:00+00,,175.500000,33.100000,65.200000,221.200000,54.300000,21.400000,40.600000,161.900000,232.500000,102.900000,50.900000,20.100000,84.900000,25.700000,8.400000,9.200000,33.700000,11.300000,26.300000,15.100000,16.200000,32.700000,19.700000,10.300000,17.300000,16.600000,27,9.100000,39.900000,2,5.900000,34.300000,12,42.600000,6.300000,45.300000,15.200000,,12.500000,44
2021/01/02 17:00:00+00,,177.900000,52.900000,86.500000,304.400000,127.600000,39.900000,58,169.500000,219.400000,130.700000,58.100000,49.100000,97,42.100000,9,15.600000,49.100000,17.600000,33.900000,24.600000,20.800000,34.200000,9.900000,26.400000,23.100000,22.300000,31.800000,20.400000,54.200000,0.600000,4.400000,39.100000,24.400000,42.500000,5,51.400000,38.500000,,7.200000,45
2021/01/02 18:00:00+00,,132.600000,76.700000,99.300000,277,184.300000,58.700000,70.800000,239.500000,235,147.200000,53.400000,53.400000,113.100000,35.500000,11.500000,16.400000,60.400000,47.600000,56.500000,25.200000,24.500000,66.400000,9.100000,36.900000,31.800000,29.300000,41,35,64.400000,0.600000,2,49.800000,67.200000,78,10.100000,78.100000,41.400000,,12.700000,46
2021/01/02 19:00:00+00,,89,105.500000,99.800000,292.800000,256.600000,51.300000,102.300000,262.100000,271.100000,131.300000,60.400000,82.700000,99.300000,23.200000,15.900000,30.300000,68.300000,35.400000,63.400000,33,24.400000,82.400000,14.300000,39.400000,28.700000,45.900000,64.900000,47.100000,76.200000,1.400000,2.300000,56.400000,93.500000,74.100000,12.400000,80.500000,46.800000,,29.100000,47
2021/01/02 20:00:00+00,,71.400000,85.800000,93.300000,243.100000,243.800000,46.100000,117.400000,260,205.800000,118.800000,81.400000,69.700000,87.100000,24.500000,21.500000,45.300000,61.600000,33.900000,67.700000,26.700000,26.300000,70.200000,8.100000,29.400000,34,42,68.100000,62.700000,80,0.800000,1,59.900000,85.800000,68.600000,22.600000,58.500000,53.600000,,39.700000,48
2021/01/02 21:00:00+00,,40.200000,62.700000,84.600000,154.600000,138.300000,32.800000,94.600000,180.300000,206.800000,100.700000,86.200000,71,73.500000,23.100000,21.600000,51.100000,48.400000,31.800000,64.900000,32.300000,9,49.200000,9.200000,22.300000,31.800000,46.600000,62.100000,63.900000,78.500000,0.600000,1.700000,66.300000,54.800000,56.800000,12.800000,57.200000,56.500000,,23.600000,49
2021/01/02 22:00:00+00,,22.800000,57.800000,65.900000,83.600000,115.400000,33.600000,69.200000,153.500000,189.400000,77.500000,82.800000,71.800000,73,25.200000,21.600000,45.200000,47.800000,26.300000,44.400000,38.100000,12.900000,41.700000,6.300000,23.100000,42.700000,32.300000,57.800000,68.300000,65,0.500000,2,80.400000,56.700000,53.400000,15,50.100000,55.700000,,29.900000,50
2021/01/02 23:00:00+00,,22.500000,57.400000,56.600000,57.300000,90.100000,41,68.400000,138.800000,130.500000,57.400000,72.700000,46.400000,73.100000,28.600000,28.600000,40.700000,44.400000,10.700000,33.500000,29.700000,18.800000,48,5.200000,30.600000,43.300000,18,56.200000,63.800000,52.500000,0.400000,3.200000,62.900000,58.200000,46.800000,14.200000,49.200000,65.300000,,27,51
2021/01/03 00:00:00+00,,11,56.700000,47.300000,53.300000,99.400000,39.600000,43.300000,115.500000,101.400000,49.800000,72.400000,57,72.900000,34.800000,28.900000,32.800000,41.500000,8.200000,49.400000,22.800000,25.100000,37.100000,4.900000,28.600000,29.900000,26.800000,60.600000,62.200000,42.400000,0.100000,1.700000,48.200000,64.500000,35.800000,7.600000,50.600000,71.800000,,25.800000,52
2021/01/03 01:00:00+00,,8.900000,60.500000,28.700000,53.100000,97.100000,37.600000,49.900000,82.900000,92.400000,50.300000,61.500000,29,57.600000,40.300000,21.500000,23.100000,34.500000,8,51.600000,17.600000,29.600000,31.900000,4.100000,28.200000,24.800000,26.100000,64.100000,64.900000,37.400000,0.300000,0.500000,31.100000,67,28.800000,3.400000,69.400000,74.600000,,21.300000,53
2021/01/03 02:00:00+00,,6.900000,59.900000,28.700000,43.200000,83.200000,35.100000,40,76.600000,63.200000,50.100000,40.600000,19.200000,27.900000,37.600000,36.200000,6.100000,19.800000,8.500000,41.400000,9.600000,19.400000,37.200000,2.100000,27.900000,32.700000,10,63.600000,60.400000,41.300000,0.100000,0.400000,35.800000,30.300000,22.600000,6.600000,57.600000,61.400000,,15.600000,54
2021/01/03 03:00:00+00,,7.400000,53.500000,18.500000,38.400000,78.800000,33.200000,28.700000,79.900000,47.200000,74.100000,32.700000,22.600000,60.400000,32.200000,30.900000,17.200000,16.400000,6.400000,27.600000,15.400000,13,35.600000,1.400000,18,25.200000,15.900000,59.700000,58.500000,29.300000,0.300000,0.900000,11.600000,28.600000,18.100000,9,37.500000,43.100000,,37.100000,55
2021/01/03 04:00:00+00,,9.700000,39.100000,22.500000,52.100000,73.300000,17,28.700000,46.600000,45.600000,67.400000,29.800000,42.800000,51.100000,29,7.300000,7.800000,11.100000,11.500000,15.100000,15.500000,16.600000,30.400000,2.900000,15.700000,9.800000,6.500000,44.200000,45.100000,31.300000,0.100000,0.300000,14.800000,25.400000,23.700000,5.500000,34.900000,40.400000,,65,56
2021/01/03 05:00:00+00,,10.400000,29.300000,14.900000,61.500000,81.700000,7.300000,22.400000,42.900000,55,41.800000,30.400000,10.400000,23.500000,34.400000,3.700000,8.200000,8.600000,22.900000,21.200000,5.600000,22.200000,16.100000,2.500000,18.900000,15.300000,5.800000,29.200000,29.400000,21.700000,0.100000,0.200000,15.700000,21.900000,13.700000,6.900000,31.800000,37.600000,,59.700000,57
2021/01/03 06:00:00+00,,32.200000,30.100000,9.700000,83.400000,97,3.300000,21.500000,64.100000,56.100000,27.800000,26.200000,3.500000,13.400000,26.200000,5.800000,1.600000,4.300000,23.900000,18.100000,2.500000,18.600000,6.600000,1.400000,27.800000,9.800000,0.600000,15.400000,4,17.800000,0,0.400000,15.500000,16.900000,9.900000,2.500000,24.400000,39.200000,,25.900000,58
2021/01/03 07:00:00+00,,28.300000,22.900000,22.400000,70.300000,88.300000,1.800000,16.500000,54.700000,58.800000,37.700000,18.700000,12.300000,19.300000,20.600000,3.400000,2,6.600000,24.900000,8.800000,3.100000,14.300000,4.500000,4,30.800000,9.300000,1.800000,15.700000,8.100000,27.200000,0.400000,1.400000,4.500000,11.200000,13.300000,2,11.600000,25.900000,,1.100000,59
2021/01/03 08:00:00+00,,39.200000,5,29.900000,73.200000,61.200000,2.900000,10.700000,86.900000,61.600000,49.600000,8.400000,12.300000,24.600000,14,3,3.900000,6.900000,21.100000,7.900000,3.400000,12.200000,5.600000,5.600000,26.700000,6.700000,4,5.700000,1.300000,19.400000,0.400000,8.300000,1.800000,7.900000,14,1.500000,8,5.900000,,2.200000,60
2021/01/03 09:00:00+00,,39,10.100000,31.700000,89.600000,74.800000,4,9,117.600000,77.600000,52,10.500000,28.300000,30.400000,12,7.400000,6.800000,10.100000,14.300000,11.700000,4.100000,10.400000,8,6.100000,8,12.300000,7.200000,8.700000,3.200000,15.700000,2.300000,8.900000,4.500000,6.300000,17.900000,4.700000,7.100000,4.600000,,4.900000,61
2021/01/03 10:00:00+00,,57,15.200000,32.700000,187.900000,97,6,7.100000,120.100000,69.200000,70.900000,12.900000,21,43.200000,9.200000,9.600000,8.700000,9.800000,7,11,2.800000,8.100000,10.500000,4.900000,9.800000,15.200000,8,13.100000,9.200000,15.100000,3.400000,11.100000,8.200000,6.400000,18.900000,10.700000,11,9.400000,,11.600000,62
2021/01/03 11:00:00+00,,47.500000,14.600000,30.700000,109.700000,96,9.900000,6.200000,152.500000,89.900000,56.100000,7.400000,16.400000,40.100000,6.600000,8.900000,6.900000,8.300000,5.800000,10.400000,2.300000,5.600000,12.500000,5.400000,7.500000,14.300000,6.500000,14.400000,9.800000,12.700000,2.900000,13.700000,7.300000,5.400000,17.500000,11,6.900000,5.500000,,9.300000,63
2021/01/03 12:00:00+00,,69.200000,9.400000,41,85,111.800000,6.700000,9.700000,143.400000,119,52.200000,6.600000,34.700000,54.500000,5.500000,9.700000,6,44.800000,5.200000,9.500000,3.100000,4.700000,12.800000,5.800000,6.400000,12.500000,5.600000,7.100000,5.100000,13.500000,2.400000,10.700000,7.200000,3.200000,16.100000,10.400000,5.600000,5,,8,64
2021/01/03 13:00:00+00,,46.900000,13.600000,37.100000,84.800000,97.600000,6.700000,7.600000,139.800000,104.100000,58.700000,8.100000,21.500000,55.800000,7,10.100000,8.100000,30.500000,2.500000,10.100000,2.600000,6.100000,9.700000,6.100000,1.900000,14.200000,7,7.200000,4.400000,16.400000,1.400000,11.600000,7.200000,4.800000,20.300000,9.700000,6.100000,6.300000,,7.700000,65
2021/01/03 14:00:00+00,,45.500000,18.400000,38.900000,78.600000,83.300000,3.300000,4.800000,146.300000,86.700000,66.900000,4.600000,30.600000,47.900000,7.100000,8.100000,6.700000,6.500000,2,7.400000,2.300000,4.800000,14.300000,6,3.500000,8.600000,6.200000,9.700000,4.800000,11.800000,1.200000,5.400000,6,5.200000,13,8.400000,7.900000,5.300000,,6.800000,66
