,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2022/01/01 06:00:00+00,5,34.900000,8.500000,11.800000,77.100000,85.900000,17.100000,15.100000,19.400000,51.300000,38.800000,3.800000,13.300000,13.400000,2.600000,,0,12.700000,1.200000,9.200000,,0.400000,,6.700000,5.600000,6.800000,2.300000,8.100000,2.600000,11.300000,0.400000,0.200000,15.900000,1.500000,23.400000,0.400000,2.800000,1.800000,57.900000,1.400000,10
2022/01/01 07:00:00+00,3.500000,44.800000,9.200000,13.400000,70.700000,69.500000,17.900000,11.600000,15.800000,56.800000,61.700000,2.600000,13.300000,10.600000,1.500000,,0.100000,9.900000,1.200000,20.200000,,0.500000,,6.600000,10.500000,5.800000,4.300000,8.700000,3.400000,5.700000,0.400000,0.200000,7,1.800000,21.700000,0.400000,4.100000,3.300000,48.400000,0.400000,11
2022/01/01 08:00:00+00,3.200000,44.300000,8.800000,20.300000,43.800000,66.600000,16.700000,10.400000,11.100000,48.900000,55.300000,7,20.900000,12.600000,2.200000,,0.100000,7.300000,1.800000,13.300000,,0.300000,,15.200000,19.900000,12.400000,9,11.200000,2.700000,9.200000,0.200000,0.100000,7.900000,6.400000,27,0.300000,4.300000,4.100000,44.700000,1.900000,12
2022/01/01 09:00:00+00,5.600000,42.300000,15.900000,19.300000,94.600000,69,17,9.700000,16.700000,49.700000,42.100000,11.500000,18.100000,18.400000,1.400000,,0,9.500000,2.600000,17,,0.800000,15.100000,7.800000,19.200000,12.500000,7.600000,14.400000,3.200000,14,0.400000,0.500000,12.300000,7.400000,34,0.600000,4.900000,4,77.600000,7.300000,13
2022/01/01 10:00:00+00,9.200000,61.200000,17.200000,27.500000,97.200000,74.500000,17,7.800000,22.400000,56.700000,34.800000,8.100000,12,19.600000,3.100000,,0.200000,16.400000,3.600000,14.300000,,1.200000,16.900000,3.800000,19.600000,11.400000,11.100000,16.600000,5.800000,13.800000,0.500000,1.700000,11.400000,7.800000,36.900000,1.600000,6.200000,6.800000,41.900000,7.800000,14
2022/01/01 11:00:00+00,8.800000,42.200000,13.800000,32.500000,93.900000,75.800000,10,10.100000,27.200000,61.100000,48.800000,6.200000,14,20.200000,3.500000,,0.300000,29.400000,4.100000,11.800000,,1.400000,17.800000,6.400000,6,12.100000,10.500000,13.600000,6.300000,12.100000,1.100000,1.300000,9.900000,3.900000,46.400000,2.900000,5.100000,6,43.300000,8.600000,15
2022/01/01 12:00:00+00,9.900000,47.700000,7.700000,36.500000,86.600000,69.300000,9.600000,7.600000,38.800000,55.100000,64.200000,4.100000,26.900000,19.300000,3,,1.200000,24.200000,4.200000,11.700000,,1.300000,13.800000,3.600000,4.500000,11,9.100000,7.700000,6,9.700000,2.200000,1.300000,8.200000,2.500000,39.500000,2.800000,4.300000,4.600000,38.700000,5.500000,16
2022/01/01 13:00:00+00,9.600000,54.400000,7.200000,37.100000,103.300000,63.700000,7.100000,6.800000,49.800000,82.800000,58,4.800000,21.800000,19.300000,3.200000,,1.900000,26.500000,3.700000,12,,1.400000,8.400000,3.200000,4.800000,8.800000,6.400000,6.900000,6.100000,10.900000,2.300000,1.400000,8.100000,1.900000,42.800000,1.600000,4.200000,4.400000,50,3.200000,17
2022/01/01 14:00:00+00,11,51.700000,7.600000,40.500000,72.600000,65.700000,7.600000,8.300000,44.900000,99.800000,60.100000,5.900000,25.700000,24.100000,3.700000,,2.400000,24.100000,4.300000,8.400000,,1.700000,4.800000,5.200000,3.900000,7.800000,5,7.200000,6.600000,10.300000,1.400000,1.100000,9.200000,2.500000,37.600000,1.400000,4.800000,3.600000,55.600000,3.300000,18
2022/01/01 15:00:00+00,6.900000,44.900000,7.200000,52,90.700000,96.900000,6.700000,7.700000,31.100000,91.800000,81.100000,4.300000,29.600000,19,3.500000,,1.800000,24.900000,1.900000,7.800000,,1.500000,7.300000,3.300000,2.600000,7.600000,4.800000,6.700000,3.200000,7.700000,0.900000,0.600000,7.700000,2.100000,35.600000,1,7.600000,1.600000,59.200000,2.400000,19
2022/01/01 16:00:00+00,7.700000,77,12.600000,67.100000,168.100000,101.600000,10.900000,4.700000,39.200000,112.200000,96.400000,3.800000,31.300000,35.900000,3.400000,,0.500000,41.800000,3.300000,9.200000,,1.500000,9.600000,5.300000,6,8,4.400000,4.300000,2.600000,7,0.600000,0.500000,6.700000,1.400000,48.800000,0.600000,5.900000,3.300000,69.300000,1,20
2022/01/01 17:00:00+00,11.500000,136.400000,43.200000,67.200000,171.200000,130.300000,17.800000,7.500000,60.100000,188.300000,100.200000,2.800000,48.800000,57,12,,0.200000,57.400000,5.100000,13.100000,,3.600000,26.400000,23.500000,10.300000,9.200000,6.100000,6.200000,6.900000,7.500000,0.300000,0.300000,10.500000,3.200000,74.100000,0.500000,6.200000,7.600000,90.500000,1.600000,21
2022/01/01 18:00:00+00,20.700000,185.400000,30.300000,93.400000,249.200000,139.700000,26,6.500000,59.200000,138.500000,120.500000,4,41.500000,43.600000,14.600000,,0.100000,98.200000,14.200000,16.400000,,11.400000,32.600000,59.300000,19,19.100000,9.100000,8.600000,10.500000,11.700000,1.500000,0.100000,12.300000,7,118.400000,0.600000,8.800000,14.700000,102.900000,3,22
2022/01/01 19:00:00+00,21.400000,101.700000,33.600000,86.600000,155.300000,132.700000,20.100000,7.700000,97.900000,173,92.500000,6.700000,29.600000,76.200000,7.100000,,0.200000,59.700000,12.100000,15.800000,,2.700000,31.400000,22.200000,19.900000,25.900000,6.900000,14.100000,7.900000,15,1,0.100000,10.600000,7.600000,96.100000,0.600000,5.600000,10.200000,55.500000,2.100000,23
2022/01/01 20:00:00+00,21,115,60.900000,76.900000,200.500000,143.800000,26,13.300000,93.100000,154.600000,103.900000,3.900000,48,66.900000,11.800000,,0.100000,74.400000,11,19.100000,,2.700000,21.100000,14.900000,16.900000,26.100000,12.900000,17.400000,18.300000,17.200000,0.600000,0.100000,20.300000,4.800000,75.400000,0.300000,5.600000,20.100000,76.400000,11.700000,24
2022/01/01 21:00:00+00,55.100000,76.300000,29.300000,93.200000,192.800000,140.700000,27,9.800000,86.700000,141,85.800000,2.800000,37.300000,82.400000,6.300000,,0.100000,86.400000,7.700000,35.500000,,5.600000,29.100000,37,13,30.900000,14.700000,23.300000,26.800000,29.400000,1,0.200000,23.900000,6.900000,91.700000,0.100000,9.600000,23.900000,75.200000,7.400000,25
2022/01/01 22:00:00+00,49.200000,54.200000,24.400000,129.100000,148.700000,148.900000,35.400000,10.800000,104.200000,111.100000,78.300000,5.200000,35.800000,103.500000,2.500000,,0,73.800000,5.500000,43.600000,,1.500000,17.200000,45.700000,25,27,11.900000,16.800000,19.300000,28.400000,0.600000,0.100000,17.800000,9.300000,80.200000,0.300000,4.900000,5.800000,87.700000,24,26
2022/01/01 23:00:00+00,32.200000,48.500000,10.900000,55.200000,55.500000,103.800000,41.100000,10.700000,40.600000,73.300000,66.700000,4.500000,16.100000,59.200000,2.800000,,0,69.500000,4.500000,38.800000,,0.800000,11.300000,8,19.600000,30,7.100000,9.900000,4.400000,25.500000,0.800000,0,15.400000,4.700000,50.700000,0.100000,2.200000,2.300000,81.400000,13.500000,27
2022/01/02 00:00:00+00,18,26.200000,5.700000,50.600000,35.500000,77.100000,39.300000,5.300000,54.500000,62.400000,36.200000,4.600000,32.400000,31.700000,2,,0.100000,33.500000,5,18.300000,,0.400000,13.100000,2.700000,9.800000,13,4.800000,5.500000,2.800000,17.300000,0.500000,0.100000,13.300000,2.100000,45.800000,0.100000,1.700000,0.400000,61.800000,5.600000,28
2022/01/02 01:00:00+00,8.900000,21.300000,4.500000,22.700000,28,52,27,3.300000,52.700000,50.500000,40.500000,3.400000,11.400000,21.700000,1.100000,,0.200000,23.800000,2,5.100000,,0.300000,15.600000,2.100000,8.900000,7.100000,2.600000,3,2.400000,8.200000,0.500000,0.200000,5.800000,0.700000,21.700000,0.100000,1.300000,0.400000,33.600000,2,29
2022/01/02 02:00:00+00,4.500000,24.400000,2.200000,10.900000,17.400000,44.100000,10.400000,2.400000,17.600000,35.700000,21.800000,1.100000,7.300000,12.800000,1.100000,,0.200000,17.400000,2.100000,3.200000,,0.100000,3,1.800000,3.600000,5.600000,1.800000,3.200000,1.200000,5.700000,0.300000,0.100000,3.500000,0.600000,9.800000,0.100000,1.700000,0.600000,36.300000,0.700000,30
2022/01/02 03:00:00+00,3.500000,11.300000,1.700000,10.700000,25,30.600000,1.900000,1.300000,10.700000,24.300000,15.300000,0.700000,5.100000,6.400000,0.900000,,0.100000,14.100000,0.800000,2.200000,,0.100000,5.500000,1.400000,7.700000,2.800000,1.300000,2.300000,0.300000,4.900000,0.500000,0,2,0.400000,6.500000,0.100000,1,0.100000,17.400000,0.100000,31
2022/01/02 04:00:00+00,2.400000,18,1.600000,6.500000,25.900000,31.100000,1,1,14.900000,30.900000,13.500000,0.500000,4.600000,4.600000,0.800000,,0.200000,6.500000,1,1.700000,,0.200000,3.300000,1.100000,2.400000,2.500000,0.900000,1.800000,0.400000,2.900000,0.600000,0,1.600000,0.300000,3.700000,0,0.900000,0,15.100000,0,32
2022/01/02 05:00:00+00,1.900000,12.400000,1.400000,5,27.500000,45.200000,0.300000,1.300000,12.300000,35.100000,26.300000,0.700000,3.600000,5.100000,1,,0.200000,5.800000,1,1.900000,,0.100000,2.700000,1.400000,2.600000,3.200000,0.700000,1.100000,0.100000,2.100000,0.500000,0,1.200000,0.600000,4.700000,0.200000,0.900000,0.100000,17.500000,0,33
2022/01/02 06:00:00+00,1.600000,9.600000,1.600000,5.700000,33.400000,58.200000,0.800000,1.200000,16.500000,51.400000,36.300000,0.600000,5,4.900000,0.900000,,0.200000,2.500000,1,2.200000,,0.300000,3.800000,1.300000,1.600000,4.400000,1.100000,1.500000,0.400000,2.300000,0.400000,0.100000,1.500000,0.300000,4.800000,0.100000,1,0.200000,23.800000,0,34
2022/01/02 07:00:00+00,1.400000,12.800000,3.600000,7.300000,27.300000,54.400000,1,1.500000,13.900000,30.400000,48.800000,0.700000,3.800000,4.300000,1.300000,,0.100000,1.900000,1.200000,3.100000,,0.500000,2.900000,1,1.600000,2.500000,1.600000,3.500000,0.300000,1.800000,0.200000,0,1,0.900000,15.800000,0.100000,0.900000,0.200000,14.200000,0,35
2022/01/02 08:00:00+00,1.400000,17,5.300000,15.500000,31.800000,40.500000,1.700000,3.100000,28.400000,34.100000,27.200000,0.500000,17.800000,7.100000,2,,0.300000,4,1.300000,3.700000,,0.300000,8.300000,1.700000,1.600000,2.300000,0.500000,5.100000,0.200000,2.800000,0.500000,0.100000,1.100000,2.100000,7.500000,0.400000,0.900000,0.600000,4.600000,0,36
2022/01/02 09:00:00+00,2.300000,20.600000,8.200000,16.200000,68.600000,30.600000,2.100000,2.700000,41.800000,77.800000,66.400000,0.500000,28.700000,5.500000,4,,0.200000,5.500000,1.400000,1.400000,,0.600000,7.900000,1.700000,2.600000,3.300000,1,3.500000,0.500000,2.800000,0.400000,0.200000,1.300000,2.600000,7.900000,0.700000,2,1.400000,5.200000,0,37
2022/01/02 10:00:00+00,2.900000,26.100000,6.500000,26.200000,132.700000,19.300000,3.700000,2.500000,49.200000,100.200000,46.800000,1.200000,11.600000,7.500000,5.600000,,0.500000,13.200000,2,2,,2.300000,5.400000,2.300000,3.800000,3.300000,1.800000,4,2.300000,4.300000,0.600000,0.300000,2.600000,2.800000,8.600000,1,2.800000,3.800000,10.200000,0.200000,38
2022/01/02 11:00:00+00,3.300000,33.900000,9.500000,25.900000,86.200000,27.500000,2.500000,3.400000,47.400000,85.600000,34.800000,1.900000,21.300000,9.100000,8.400000,,0.800000,11.800000,2.500000,1.500000,,3.200000,3.700000,3,4.400000,3.500000,1.700000,4.900000,2.900000,3.700000,0.600000,0.500000,2.900000,2.700000,11.600000,0.900000,2.900000,3.100000,9.600000,0.400000,39
2022/01/02 12:00:00+00,2.300000,39.400000,8,23.800000,80.400000,37,3.200000,1.600000,51,64.500000,35.200000,1.400000,15,9.900000,4.500000,,0.500000,11,2.100000,1.800000,,2.100000,3.500000,2.200000,3.100000,2.300000,1,2.600000,1.900000,2.200000,0.400000,0.400000,1.400000,1.600000,12.500000,0.500000,2,1.400000,13.400000,0,40
2022/01/02 13:00:00+00,2.700000,42.200000,7,23.500000,80.500000,47.300000,3,2.800000,47.100000,61.500000,36.500000,1.500000,26.200000,8.900000,2.800000,,0.500000,9.500000,1.700000,2,,0.800000,2,1.600000,2,2.600000,1.100000,2.300000,1.200000,2.200000,0.500000,0.100000,2.100000,2,14.100000,0.600000,2.200000,0.800000,38.800000,0.100000,41
2022/01/02 14:00:00+00,2.200000,40.400000,8.200000,35.800000,89.100000,51.400000,2.900000,2.600000,56.600000,61.800000,48.500000,1.600000,15.400000,9.200000,2.600000,,0.600000,13.400000,1.200000,2.200000,,0.500000,2.500000,1.600000,2,2.800000,1.200000,3.100000,1.400000,2.100000,0.500000,0.100000,1.800000,2,27.100000,0.700000,2.200000,0.800000,35.400000,0,42
2022/01/02 15:00:00+00,1.800000,42.800000,7.800000,30.900000,81.300000,28.200000,1.800000,2.400000,49.100000,59.300000,27,1.500000,8.400000,8.200000,2.200000,,0.400000,14.100000,1,1.600000,,0.600000,2.200000,1.700000,1.700000,2.600000,0.700000,2.200000,1.300000,1.900000,0.400000,0.100000,1.600000,1.300000,35.600000,0.500000,1.900000,0.500000,27.700000,0,43
2022/01/02 16:00:00+00,1.200000,44.800000,8.700000,30.600000,71,25.300000,2.100000,1.200000,52.600000,63.500000,29.800000,1.400000,20.300000,6.700000,1.400000,,0.200000,12.100000,0.700000,1.500000,,0.400000,2,1.900000,1.600000,1.800000,0.600000,1.300000,0.200000,1.600000,0.400000,0,1.700000,0.800000,41.500000,0.400000,1.100000,0.100000,14.600000,0,44
2022/01/02 17:00:00+00,1.100000,40.800000,7.100000,,83.500000,30.500000,4.400000,1.200000,34.900000,48.700000,27.900000,0.700000,15.600000,7,1.400000,,0.200000,11.300000,0.800000,1.900000,,0.100000,1.900000,1.700000,1.500000,1.900000,0.600000,1.300000,0.100000,1.400000,0.300000,0,0.600000,1.400000,55.700000,0.100000,0.800000,0,13.700000,0,45
2022/01/02 18:00:00+00,1.100000,41.700000,6.500000,32.600000,65.800000,28,2.400000,1.200000,41.800000,36.300000,22,0.300000,7.900000,6.400000,1.500000,,0.100000,9.800000,0.700000,1.200000,,0.400000,2.300000,1.500000,1.700000,1.600000,0.500000,1.300000,0,1.300000,0.300000,0,0.600000,0.800000,63.500000,0.300000,0.600000,0,17.600000,0,46
2022/01/02 19:00:00+00,1.300000,27.800000,4.600000,28.900000,49,15.200000,1,1.200000,35.800000,50.300000,28.300000,0.700000,6.700000,7.400000,1.400000,,0.100000,15.300000,0.500000,0.700000,,0.100000,1.800000,1,1.600000,2.100000,0.400000,1,0.100000,1.300000,0.600000,0,0.400000,1,48.400000,0.200000,0.600000,0.100000,7,0,47
2022/01/02 20:00:00+00,1.100000,25.500000,2.400000,13.700000,32.500000,10.900000,0.800000,0.200000,37.700000,70.300000,17.200000,0.500000,9.400000,5.500000,1,,0.100000,8.300000,1.100000,0.700000,,0.200000,1.400000,1.200000,1.400000,1.400000,0.500000,0.800000,0.100000,1,0.200000,0,0.500000,0.600000,14.200000,0.300000,0.400000,0.400000,4.200000,0,48
2022/01/02 21:00:00+00,1.100000,20.100000,2,9.500000,29.500000,5.900000,0.100000,0,30.200000,48.900000,15.500000,0.100000,6.600000,7.100000,0.700000,,0.200000,8.400000,1,0.700000,,0.100000,1,1.200000,1.100000,1.700000,0.300000,0.800000,0,1.200000,0.400000,0.100000,0.400000,0.400000,8.900000,0.200000,0.400000,0,2.900000,0,49
2022/01/02 22:00:00+00,1,13.700000,2.200000,11.900000,24.200000,5.900000,0.400000,0,30.300000,51.200000,14.600000,0.100000,5.500000,5.500000,0.400000,,0.100000,10.300000,1.300000,1.200000,,0,1.900000,1.100000,1.100000,1.800000,0.400000,0.800000,0,1.100000,0.600000,0.100000,0.400000,0.200000,7.300000,0.100000,0.600000,0,4,0,50
2022/01/02 23:00:00+00,0.700000,13.100000,1.400000,8,23.100000,6.500000,0.400000,0.200000,19.400000,34.700000,12.800000,0.200000,7.800000,5.400000,0.500000,,0.100000,6.700000,1.100000,1.100000,,0,1.300000,0.800000,1.100000,1.400000,0.200000,0.500000,0,1,0.500000,0,0.300000,0.800000,6.200000,0.100000,0.500000,0,5.700000,0,51
2022/01/03 00:00:00+00,0.800000,9.400000,1.800000,9.500000,12.100000,7.700000,0.300000,0.100000,17.400000,30.500000,16.100000,0.100000,3,3.900000,0.500000,,0.100000,4.300000,0.700000,0.200000,,0,0.900000,0.900000,1.100000,1.500000,0.100000,0.500000,0,1.100000,0.200000,0,0.200000,0.600000,7.100000,0,0.300000,0,2.500000,0,52
2022/01/03 01:00:00+00,0.800000,8.200000,1.300000,7.500000,13.800000,6.500000,0.100000,0,12.600000,21.100000,10.800000,0.100000,5.900000,3.800000,0.500000,,0.100000,3.600000,1.100000,1.200000,,0,0.900000,0.800000,1,1.400000,0,0.300000,0,0.900000,0.300000,0,0.200000,0.500000,3.700000,0.100000,0.300000,0,2.200000,0,53
2022/01/03 02:00:00+00,0.600000,8.800000,1.100000,3.400000,12.900000,6.600000,0,0,17,13.300000,9.400000,0.100000,2.200000,2.800000,0.500000,,0.100000,2.900000,0.500000,1,,0,1.400000,0.600000,1,1.500000,0,0.400000,0,0.700000,0.400000,0,0.200000,0.200000,3.600000,0.100000,0.400000,0,1.700000,0,54
2022/01/03 03:00:00+00,0.700000,7.400000,1,2.400000,21.300000,10.500000,4.700000,0,9.800000,23,16.900000,0.200000,2.400000,2.400000,0.600000,,0.200000,2.200000,0.100000,1.500000,,0,1.500000,0.700000,1.100000,1.500000,0,0.300000,0,0.800000,0.300000,0,0.300000,0.600000,2.200000,0,0.600000,0,1.600000,0,55
2022/01/03 04:00:00+00,0.700000,10.300000,1.400000,2.200000,28.500000,18,4.100000,0,17.500000,35.800000,16.100000,0.100000,2,2.600000,0.500000,,0.100000,2.800000,0.700000,1.900000,,0,1.700000,0.600000,1.100000,1.700000,0.100000,0.400000,0,0.800000,0.300000,0.100000,0.200000,0.900000,2.100000,0.100000,0.500000,0,2.500000,0,56
2022/01/03 05:00:00+00,0.700000,21.900000,2.500000,6.400000,73.600000,34.200000,1.400000,0.100000,45.700000,82,50.400000,0.200000,3.400000,3.700000,0.800000,,0.100000,4.800000,1,1.800000,,0.100000,1.200000,0.700000,1.300000,1.600000,0.200000,0.700000,0.300000,0.900000,0.400000,0,0.200000,0.600000,5.100000,0.100000,0.600000,0,15.700000,0,57
2022/01/03 06:00:00+00,1,34,3.900000,12.900000,116.100000,54,2.600000,1.200000,100,194.200000,62.200000,0.400000,9.100000,4.500000,2.500000,,0.200000,7.900000,1.100000,1.700000,,0.300000,6.500000,2.100000,1.700000,1.900000,0.300000,0.900000,0.100000,1.400000,0.300000,0,0.900000,0.500000,10.500000,0.100000,0.600000,0.100000,28.200000,0,58
2022/01/03 07:00:00+00,1.300000,47.400000,28.300000,36.200000,136.400000,62.700000,3.600000,2.200000,102.800000,117.300000,54.500000,0.900000,18.700000,10.300000,2.700000,,0.200000,16.700000,5.200000,3,,0.200000,7.300000,3.900000,2.100000,2.500000,0.400000,1.600000,0.300000,1.900000,0.300000,0.100000,1.200000,3.200000,15,0.500000,0.700000,0,41.300000,0,59
2022/01/03 08:00:00+00,2,63.300000,13,45.200000,131.700000,61,5.600000,2.900000,89.100000,108.300000,56,0.700000,48.400000,9.300000,2.900000,,0.200000,14.100000,4.400000,2.900000,,0.400000,10.100000,3.900000,2.600000,3.400000,1.300000,1.900000,1.900000,1.900000,0.500000,0.100000,1.100000,2.200000,15.300000,0.500000,1.200000,0.100000,63.900000,0.100000,60
2022/01/03 09:00:00+00,3,57.800000,13.500000,44.700000,95.100000,51.400000,4.100000,2.800000,76.800000,135.200000,68,1.700000,37.400000,8,2.700000,,0.200000,13.700000,2.400000,2.400000,,0.400000,5.900000,2.400000,2.100000,3.300000,0.600000,3.500000,1.500000,2.200000,0.500000,0,1.300000,1.400000,15.500000,0.500000,1.800000,0.200000,31.700000,0,61
2022/01/03 10:00:00+00,2.800000,61.500000,8,47.800000,86.100000,54.400000,8.600000,2.500000,77.800000,133,81.600000,3.200000,40.400000,8.800000,2.800000,,0.200000,13.900000,2.500000,1.900000,,0.300000,3.600000,2.400000,2.100000,3.300000,0.800000,,1.300000,2.600000,0.400000,0.100000,1.800000,1.100000,15.100000,0.200000,2.200000,0.400000,32.300000,0.100000,62
2022/01/03 11:00:00+00,2.800000,54.900000,7,40.100000,80.900000,36.500000,,2.800000,56.700000,74.300000,44.300000,3.600000,21,9.300000,3.200000,,0.300000,16.300000,2.100000,2.200000,,0.500000,2.600000,2.500000,2.500000,2.600000,0.600000,2.300000,0.800000,2.200000,0.600000,0.100000,,1.700000,15.700000,0.400000,1.600000,0.500000,21.300000,0.100000,63
2022/01/03 12:00:00+00,2.800000,47.200000,10.900000,35.100000,74,41.700000,4.100000,2.500000,52,63.900000,46.500000,3.200000,25.800000,10.100000,2.600000,,0.400000,14.400000,2.100000,,,0.700000,3.100000,2,2.300000,2.400000,1.200000,2.400000,1,2.300000,0.400000,0.200000,2.300000,1.600000,12,0.500000,1.600000,0.900000,20.400000,0.100000,64
2022/01/03 13:00:00+00,2.700000,45.900000,8.900000,26.600000,76.800000,31.900000,4.300000,,50.100000,89.100000,35.100000,3,11.400000,7.800000,2.900000,,0.600000,15.200000,2.600000,2.500000,0,0.900000,2.800000,3,2.600000,3,1.400000,2.400000,1.200000,2.300000,0.400000,0.200000,2.700000,1.800000,12.500000,0.800000,1.800000,1.400000,19.200000,0.200000,65
