,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2023/01/01 06:00:00+00,0.900000,4.400000,1.100000,5.400000,15.700000,16.900000,1,1.100000,12.300000,11.100000,13.800000,0,3.100000,0.900000,0.500000,,0.400000,2.200000,0.600000,0.600000,0,0.100000,1.100000,0.800000,0.900000,1.400000,0.400000,1.300000,0.500000,0.800000,0,0.100000,0.200000,0.600000,4.700000,0.700000,0.600000,,10.600000,,10
2023/01/01 07:00:00+00,0.800000,4.100000,0.700000,6.300000,16.200000,24.500000,1,1.300000,9.900000,10.400000,21.700000,0,8,0.700000,0.500000,,0.400000,1.600000,0.800000,0.200000,0,0.100000,1.100000,0.600000,0.800000,1.500000,0.300000,2.100000,0.800000,0.900000,0,0,0.300000,0.500000,2.700000,0.900000,0.500000,,10.600000,,11
2023/01/01 08:00:00+00,0.700000,3.500000,1.200000,9.200000,14.400000,14.300000,0.800000,0.700000,6.800000,7.200000,11.300000,0,4.900000,0.900000,0.600000,,0.100000,1,1,1.100000,0,0.100000,1.100000,0.600000,0.800000,0.900000,0.400000,1.900000,0.900000,0.700000,0,0.100000,0.300000,0.600000,2.400000,0.300000,0.400000,,17.400000,,12
2023/01/01 09:00:00+00,0.900000,5.800000,1.500000,10.500000,15.800000,18.100000,1.100000,1,10.200000,8.700000,17.600000,0,5.700000,1.900000,0.600000,,0.300000,1.900000,0.700000,0.500000,0,0.200000,1.100000,0.700000,0.900000,1.200000,0.500000,1.200000,0.400000,1.500000,0,0.100000,0.300000,0.800000,1,0.400000,0.500000,,9.300000,,13
2023/01/01 10:00:00+00,1.300000,8.200000,2.300000,23.900000,24.500000,35.500000,1.300000,0.800000,12.300000,13.900000,18.800000,0,9.500000,2,0.700000,,0.500000,3.900000,0.900000,0.600000,0,0.400000,1.400000,1,1,1.600000,0.500000,1.700000,1.100000,1,0.100000,0.100000,0.600000,0.800000,8,0.200000,0.700000,,15.300000,,14
2023/01/01 11:00:00+00,1.700000,11.700000,1.900000,21.300000,43.700000,47,2.500000,1.300000,15.400000,26,25.900000,0,11.400000,8.200000,1,,0.400000,7.600000,1.100000,0.700000,0,0.600000,1.900000,0.900000,1.200000,1.900000,0.600000,1.800000,1.400000,1.600000,0.100000,0.100000,1.200000,0.500000,10.100000,,0.800000,,24.600000,,15
2023/01/01 12:00:00+00,1.800000,19.700000,2.400000,30.900000,68.400000,63.700000,2,1.800000,22.500000,27.500000,28.500000,0.100000,18.800000,6.300000,1.300000,,0.300000,7.700000,1.400000,0.900000,0,0.600000,2,1.400000,1.400000,2.200000,0.700000,2.400000,1.300000,1.700000,0.100000,0.100000,2.100000,0.800000,24.200000,,1.400000,,27.700000,,16
2023/01/01 13:00:00+00,2.200000,24.700000,2.100000,29.200000,102.300000,74.600000,1.300000,2,29.800000,41.600000,31.600000,0,20.600000,9.900000,1,,0.400000,14.100000,1.400000,2.200000,0.100000,0.600000,1.800000,1.600000,1.900000,1.800000,0.800000,1.700000,1.400000,1.800000,0.200000,0.100000,2.300000,0.300000,17.300000,,2.100000,,34.700000,,17
2023/01/01 14:00:00+00,2,35.100000,2,35.300000,99.600000,90.900000,1.500000,2.200000,16.800000,37.100000,60.800000,0.500000,21.700000,19.500000,1.200000,,0.400000,16.300000,1.600000,3.600000,1.200000,0.500000,2.900000,1.800000,4.900000,2.600000,1.600000,2.400000,1.100000,3.300000,0.500000,0.400000,2.700000,0.500000,37.200000,,3.100000,,45.900000,,18
2023/01/01 15:00:00+00,2.600000,42.700000,3.600000,36.600000,130.100000,83,2.400000,4.300000,16,27.200000,59.600000,1.400000,16.700000,13.800000,1.100000,,0.500000,22.500000,1.400000,2.900000,0.900000,0.500000,3.500000,1.100000,4.400000,3.200000,1.700000,2.800000,1.300000,3.100000,0.200000,0.200000,3.400000,0.900000,34.600000,,2.500000,,52.500000,,19
2023/01/01 16:00:00+00,2.800000,37.900000,4.400000,41.600000,114.900000,79,3.500000,5.600000,22.200000,34.900000,66,0.900000,10.800000,25.600000,1,,0.600000,19.800000,1.300000,3,0,0.500000,3.600000,1,3.800000,3.400000,1.300000,3,1.400000,4.200000,0.100000,0.600000,3.400000,0.700000,44.400000,,2.800000,,56.100000,,20
2023/01/01 17:00:00+00,4.500000,46.700000,6.900000,41.900000,114.100000,80.200000,5.900000,7.300000,41.100000,35.300000,52,1.500000,24.600000,22.400000,0.900000,,0.400000,33.700000,1,2.800000,0.900000,0.400000,4.100000,2.100000,3.100000,4.500000,1.600000,2.700000,1.200000,3.200000,0,0.200000,2.700000,2.100000,43.100000,,2.900000,,50.100000,,21
2023/01/01 18:00:00+00,2.900000,53.900000,15.300000,43.400000,173.400000,141.200000,3.800000,3.100000,63.800000,50.200000,94.800000,0.400000,27.800000,35.100000,1.200000,,0.200000,15.800000,1.300000,4.400000,3.200000,0.200000,4.400000,3.800000,6.600000,6.700000,1.900000,4.800000,2,5,0.100000,0,2.100000,3,45.700000,,3.400000,,66.500000,,22
2023/01/01 19:00:00+00,6.500000,29,33,48.200000,233.100000,170,2.700000,5.700000,117,73.600000,74.700000,0.100000,28.200000,45.900000,1.600000,,0.100000,25,1.300000,4.800000,2.800000,0.200000,5.400000,1.300000,3.900000,10.600000,3.700000,6.800000,3.800000,8.700000,0.100000,0.100000,3.400000,2.800000,73,,6.600000,,59.900000,,23
2023/01/01 20:00:00+00,7.300000,19.700000,52.900000,63.200000,72.300000,157,3.900000,4.400000,85.300000,67.500000,78.100000,0.200000,19.500000,37.600000,3,,0,28.300000,1.300000,7.100000,0.500000,0.200000,2.100000,1.100000,1.500000,11.200000,4.100000,5.900000,4.400000,10.200000,0.100000,0.100000,4,3.400000,52.400000,,5.400000,,72.600000,,24
2023/01/01 21:00:00+00,4.300000,13.100000,16,42.200000,40.100000,92.900000,3.100000,2.800000,30.800000,48,58.800000,0.400000,21.300000,16.500000,1.900000,,0.100000,12.800000,1.100000,1.900000,0,0.300000,1.400000,0.800000,1.100000,3.600000,1.200000,4,2.100000,4.600000,0.100000,0.100000,3.200000,1.600000,26.200000,,6.800000,,33.300000,,25
2023/01/01 22:00:00+00,1.600000,13.700000,1.700000,25.900000,36.200000,76,2.200000,1.600000,17.200000,27.800000,51.500000,0,12.600000,13.500000,1,,0.200000,5.500000,1,0.500000,0,0.200000,1.400000,0.800000,1,1.900000,0.300000,1.300000,1.100000,3.100000,0.100000,0.100000,1.100000,1.600000,21.800000,,1.800000,,30.800000,,26
2023/01/01 23:00:00+00,1.200000,6.400000,1.300000,13.600000,20.200000,46.900000,1.600000,0.900000,12,15.900000,26.800000,0,14.500000,2.600000,1,,0.200000,5.600000,0.900000,0.100000,0,0.100000,1.200000,0.500000,0.700000,1.600000,0.200000,1.400000,1.100000,1.600000,0.100000,0,0.600000,1.700000,5.900000,,2.200000,,19.900000,,27
2023/01/02 00:00:00+00,0.800000,3.800000,1.100000,8.300000,15.300000,17.600000,0.700000,0.400000,8.700000,5.500000,12.900000,0,9,0.900000,0.600000,,0.300000,3.600000,0.800000,0.100000,0,0.100000,0.900000,0.900000,0.700000,1.200000,0.100000,1.200000,0.900000,0.900000,0.100000,0.100000,0.100000,0.800000,4.200000,,0.600000,,9.800000,,28
2023/01/02 01:00:00+00,0.800000,5.400000,0.700000,4.400000,12.100000,7.500000,0.700000,0.300000,7.100000,3.600000,4.500000,0,4,0.800000,0.500000,,0.500000,3.300000,0.900000,0.900000,0,0,0.900000,0.700000,0.600000,1.400000,0.100000,0.900000,0.800000,0.800000,0,0,0.100000,0.900000,2.500000,,0.500000,,5.600000,,29
2023/01/02 02:00:00+00,0.500000,3.500000,0.700000,3.200000,8.900000,7.700000,0.500000,0.400000,5.200000,3.300000,3.300000,0,3.200000,0.500000,0.500000,,0.400000,3.100000,0.500000,1.300000,0,0,0.800000,0.600000,0.500000,1.200000,0,1,0.700000,0.900000,0,0,0.300000,0.700000,3.500000,,0.500000,,3,,30
2023/01/02 03:00:00+00,0.600000,3,0.700000,4.500000,15.500000,12.300000,0.600000,0.100000,8.400000,2.700000,4,0,6.300000,0.400000,0.200000,,0.300000,2.800000,0.900000,0.500000,0,0,0.800000,0.700000,0.800000,1.100000,0,0.500000,0.400000,0.800000,0,0,0.300000,1,2.500000,,0.500000,,2.100000,,31
2023/01/02 04:00:00+00,0.700000,4,1.100000,2.500000,29,13,0.900000,0.600000,8.900000,8.200000,7.300000,0,6.500000,0.600000,0.300000,,0.500000,3.100000,1,1.300000,0,0,0.900000,0.500000,0.800000,1.400000,0,0.900000,0.100000,0.800000,0,0.100000,0.100000,0.700000,2.600000,,0.600000,,2.300000,,32
2023/01/02 05:00:00+00,0.600000,10.500000,22.900000,6.800000,61,11.600000,1,1.100000,31.300000,15.300000,18.400000,0,8,2.100000,0.600000,,0.300000,2.100000,0.900000,1,0,0,4.500000,0.700000,1.100000,1.600000,0,0.900000,0.500000,0.900000,0,0.100000,0.300000,0.600000,7.100000,,0.600000,,3.800000,,33
2023/01/02 06:00:00+00,0.900000,22.300000,93.900000,28.500000,91.400000,36.600000,2.300000,1.200000,73.400000,35.300000,31,0,12.900000,6.600000,1.300000,,0.200000,6.400000,1,0.300000,0,0,3.300000,1.300000,1.100000,1.600000,0,1.100000,0.600000,1.200000,0,0.100000,0.500000,1.400000,15.200000,,0.600000,,5,,34
2023/01/02 07:00:00+00,1.200000,27.100000,11.500000,44.100000,95,72.700000,4.400000,2,63.100000,36.200000,82.600000,0.100000,30.400000,9.900000,1.900000,,0.100000,9.400000,1.100000,2,0,0.200000,18.900000,1.600000,1.900000,2,0.500000,1.500000,1.100000,1.200000,0,0.100000,0.800000,3.100000,17.900000,,0.700000,,19.500000,,35
2023/01/02 08:00:00+00,1.700000,57.200000,48.900000,38.600000,130.700000,79.900000,8.400000,2.900000,87.400000,41.800000,86.500000,0.400000,42,6.800000,2.200000,,0.400000,15.400000,3.900000,2.700000,0,0.300000,11.100000,1.200000,1.400000,2.600000,0.700000,2.800000,1.600000,1.400000,0,0,1.900000,1.300000,22.100000,,1.800000,,46.300000,,36
2023/01/02 09:00:00+00,2,44.300000,18.300000,33.800000,115.900000,80.700000,6.300000,3.100000,75.500000,43.400000,63.200000,1.200000,46.800000,17.500000,2.900000,,0.700000,15.600000,3.200000,3.200000,0.100000,1,9.300000,1.600000,1.600000,2.200000,2.400000,3,2.400000,2.200000,0,0,1.500000,1.600000,30.600000,,2,,28.200000,,37
2023/01/02 10:00:00+00,1.700000,38.300000,10,43.300000,102.600000,50.800000,4.400000,2.600000,78.800000,35.700000,41.900000,0,30.700000,6.900000,4.200000,,0.400000,16.300000,3.600000,1.400000,0,1,5.300000,2.400000,2.900000,2.400000,1.300000,2.600000,1.900000,1.700000,0,0,1.600000,2.600000,21,,1.800000,,12.500000,,38
2023/01/02 11:00:00+00,2.200000,44.300000,11.200000,36.800000,124.700000,37.600000,4.600000,3.100000,81.900000,35.300000,34.900000,0.500000,34,11.800000,4.300000,,0.400000,22.100000,4.300000,1.700000,0.200000,1.100000,6.600000,3.500000,2.600000,2.600000,2.400000,2.500000,1.700000,2,0,0.200000,2.100000,3,26.500000,,1.600000,,14.800000,,39
2023/01/02 12:00:00+00,2.600000,51,7.300000,35.500000,91.600000,39.200000,5.300000,3.400000,60.600000,29.700000,25.900000,0.400000,27.300000,11.200000,4.400000,,0.700000,23.100000,2.600000,1.600000,0.300000,1.300000,6.400000,3.100000,2.600000,3.500000,2.500000,2.800000,1.800000,2.600000,0.100000,0.100000,2.800000,3.200000,25.200000,,1.900000,,10.100000,,40
2023/01/02 13:00:00+00,2.300000,27.100000,8.500000,34.200000,85,25.600000,5.800000,2.900000,64.500000,35.100000,16.400000,0.600000,20.100000,8.600000,4.500000,,0.700000,16,2.500000,1.100000,0,2.700000,4.900000,2.600000,2.400000,2.600000,3.300000,2.500000,2,2.200000,0.100000,0.200000,2.600000,2.200000,30.300000,,2.100000,,6.800000,,41
2023/01/02 14:00:00+00,2.100000,34.300000,6.500000,34.600000,91.300000,20.800000,4.100000,3,87.400000,38.300000,20.400000,0.600000,13.800000,6.900000,2.700000,,0.300000,16.800000,2.900000,1.600000,0,2.900000,4.300000,2.100000,2.100000,2.400000,2.200000,2.300000,1.700000,2.600000,0.100000,0.100000,2.900000,2,43.500000,,1.500000,,8.100000,,42
2023/01/02 15:00:00+00,1.900000,43.500000,11,44.100000,110.400000,28.200000,5.300000,2.500000,81.300000,29.400000,20.300000,0.500000,38,13.400000,2.200000,,0.400000,24.300000,3.700000,1.100000,0,1.400000,3.400000,2.600000,1.700000,2.200000,1.900000,2.400000,0.800000,1.800000,0.100000,0.200000,2.200000,1.800000,66,,1.600000,,8.400000,1.300000,43
2023/01/02 16:00:00+00,2.100000,59.300000,15.500000,44.500000,189.200000,14.300000,5.100000,2.200000,92.500000,34,26.300000,0.200000,37,13.800000,2.100000,,0.900000,46.700000,4.300000,1.100000,0,1,8.100000,3.900000,2.100000,2.100000,1.500000,2.800000,0.900000,2,0,0.200000,2.200000,2.100000,51.900000,,1.300000,1.900000,9.200000,1,44
2023/01/02 17:00:00+00,1.600000,78.600000,47.300000,60.800000,248.700000,85.900000,7.100000,1.800000,166.100000,57.400000,51.400000,0.400000,37.300000,22.800000,4,0.800000,0.200000,43.200000,8.800000,0.800000,0,1.300000,53.600000,6.200000,5.200000,3.500000,1.200000,2.600000,1.200000,2.200000,0,0.100000,2.900000,5.200000,89.800000,,2.700000,4.500000,17.300000,0.600000,45
2023/01/02 18:00:00+00,2.200000,69.400000,62.600000,59.800000,269.800000,116.100000,15,7,173.800000,60.100000,73.700000,8,45,31.100000,12.100000,1.600000,0.100000,35.600000,16.900000,3.100000,0.300000,3.400000,174.300000,21.800000,4.200000,5.600000,0.800000,6,3.900000,2.400000,0,0.200000,1.700000,9.200000,70.600000,,8.900000,8,42.100000,0.600000,46
2023/01/02 19:00:00+00,3.100000,39.500000,37.700000,50.600000,234.900000,133.700000,23.400000,7.300000,122.100000,64,66.500000,11.900000,40.700000,25,14.200000,2.600000,0.200000,25.600000,7.900000,4.400000,14.800000,6.900000,78.600000,11.400000,3.700000,12.100000,3.300000,12.600000,14.600000,2.100000,0,0.400000,1.200000,5.500000,42,,12.600000,12.100000,87.900000,1.200000,47
2023/01/02 20:00:00+00,3.100000,64.500000,30.600000,48.300000,176.400000,157.400000,9.600000,4.400000,118.600000,35.500000,92.400000,11.100000,35.300000,23,12.200000,1.500000,0.100000,33.700000,5.700000,2.400000,36.200000,3.200000,34.600000,5.800000,2.900000,4.800000,1.300000,21.500000,10.700000,2.600000,0,0.100000,4.900000,9.200000,27.400000,,29.800000,14,102.400000,0.400000,48
2023/01/02 21:00:00+00,4.400000,74.200000,44.300000,48.100000,150.100000,172.200000,6.900000,5.900000,111.900000,50.700000,54.600000,16.600000,25.300000,19.400000,10.400000,0.700000,1,18.100000,2.800000,1.600000,51.200000,8.500000,8.100000,5.200000,2.800000,4.300000,1.100000,14.200000,14.200000,1.400000,0,0.100000,3.400000,9.800000,17.700000,,30,15.300000,87.600000,0.400000,49
2023/01/02 22:00:00+00,2.400000,63.500000,47.400000,38.600000,90.600000,109.500000,8,3.900000,80.700000,46.100000,44.200000,30.900000,49.300000,40.500000,5.100000,0,0.500000,16.300000,2,1.100000,67.500000,4.800000,5.300000,2.500000,2.600000,3.400000,2.500000,8.100000,12.600000,2,0,0.100000,9.100000,7,21.400000,,23.800000,17.400000,45.200000,0.400000,50
2023/01/02 23:00:00+00,4.500000,44.600000,41.800000,30,34,112.400000,2.900000,2.100000,48.500000,24.400000,41.600000,8.700000,36.500000,30.800000,1.500000,0.900000,0.200000,16.100000,1.800000,0.900000,73.400000,1.100000,5.800000,1.800000,2.100000,2,0.700000,21.200000,9.700000,2.100000,0,0.100000,20.800000,3.200000,24.100000,,8.900000,5.400000,42.900000,0.300000,51
2023/01/03 00:00:00+00,7.300000,34.900000,19.600000,22.200000,30.700000,80.600000,0.700000,2.900000,29.600000,23.300000,40.900000,1.200000,25.800000,20,1.100000,0.300000,0.400000,20.800000,1.200000,1,19.700000,0.400000,5.600000,1,2.200000,7.100000,0.500000,12.400000,11.700000,6.900000,0,0,6.200000,2.800000,26.100000,,2.400000,0.600000,27.300000,0.300000,52
2023/01/03 01:00:00+00,2.300000,10.300000,2.700000,11.900000,36.100000,52.500000,0.800000,1.100000,23.600000,23.800000,16.800000,0.500000,7.100000,10.500000,0.800000,0.500000,0.500000,12.900000,1.100000,1.600000,1.700000,0.300000,2.500000,0.600000,1.200000,6.200000,0.600000,3.800000,2.500000,4.600000,0,0.100000,2.200000,0.600000,13.700000,,1.400000,0.100000,15.700000,0.200000,53
2023/01/03 02:00:00+00,1.200000,9.700000,1.200000,7.300000,28.700000,49.700000,0.700000,1.700000,19.500000,14.800000,8.300000,0.400000,10.100000,9.700000,1,0,0.300000,3.400000,0.900000,1.300000,3.800000,0.600000,2,1.100000,1.100000,1.400000,0.600000,1.800000,1,1.900000,0,0.100000,1.100000,0.600000,6.400000,,0.700000,0,10.400000,0.400000,54
2023/01/03 03:00:00+00,1,25.700000,5.400000,5.100000,48.300000,62.900000,0.700000,1.200000,14.600000,14.100000,7.500000,0.100000,9.400000,6.400000,0.500000,0,0.800000,5,0.900000,0.400000,1.900000,0.500000,1.300000,0.900000,1.100000,1.500000,0.200000,1.400000,0.500000,1.500000,0,0.100000,0.900000,1.300000,6.200000,,1,0.100000,9.100000,0.300000,55
2023/01/03 04:00:00+00,1,18.600000,2.100000,5.500000,63.900000,87.800000,2.400000,2,21.800000,20,28.700000,0.300000,10.400000,7,1.200000,0,0.200000,1.700000,1.200000,4.100000,2.200000,0.500000,1.100000,0.700000,4.800000,1.500000,0,1.800000,0.700000,1.700000,0,0.100000,0.600000,1.500000,5.200000,,0.900000,0.100000,14.800000,0.400000,56
2023/01/03 05:00:00+00,1,26.900000,49.300000,9.700000,115.600000,123.200000,3.500000,2.100000,51,31,53,0.800000,4.200000,10.800000,2.500000,0,0.200000,5.200000,3.400000,1.500000,2.500000,0.800000,3.300000,1.100000,3,1.700000,0.100000,3.200000,1.400000,1.700000,0,0,0.600000,1.400000,6.300000,,1.500000,1.300000,18.200000,0.300000,57
2023/01/03 06:00:00+00,1.300000,41.300000,102.700000,18.700000,150.500000,108.500000,4.100000,1.600000,70.900000,55,59.300000,1.700000,21.700000,7.100000,4.600000,0.300000,0.100000,7.300000,6.400000,2.200000,0,0.800000,6.900000,2.400000,5.700000,2.200000,0.400000,4.900000,1.100000,1.500000,0,0,0.600000,0.700000,13.500000,,6.600000,,18.600000,0.100000,58
2023/01/03 07:00:00+00,1.900000,53.100000,18.700000,49.500000,192.100000,78.200000,3.300000,5.400000,98.500000,64.700000,107,4.100000,96.800000,14.900000,7.500000,2.100000,0.500000,20.900000,3.100000,1.300000,0.600000,0.700000,15,9.100000,2.900000,2.800000,0.800000,2.700000,2.500000,2.400000,0.300000,0,1.300000,5.900000,36.200000,,4.200000,,70.300000,0.400000,59
2023/01/03 08:00:00+00,3.200000,105,26.100000,62.900000,191.200000,88.300000,14.900000,5.200000,81.100000,63.700000,95.200000,2.200000,59,9.800000,5,4.500000,1.800000,16.900000,4.600000,2.600000,7,0.800000,7.900000,9.100000,3.200000,3.600000,3,4.200000,3.700000,2.400000,0.300000,0.100000,4.100000,4.100000,44.500000,,5.600000,,106.300000,0.400000,60
2023/01/03 09:00:00+00,3.500000,69.300000,15.900000,50.300000,165.600000,115.500000,9.200000,4.100000,74,85.900000,92.700000,6.700000,54.700000,17.100000,4.600000,6.800000,1.400000,22.100000,5,2.900000,10.400000,1.600000,5.200000,3.800000,3.600000,4.800000,2.400000,7.800000,4.700000,2.600000,0.100000,0.200000,5.900000,2.800000,28,,5.600000,,97.400000,0.600000,61
2023/01/03 10:00:00+00,5.100000,54.500000,13.100000,67.300000,129.900000,92.300000,7.800000,6.300000,57.100000,55.600000,95.900000,3.700000,63.100000,12,4.700000,4.200000,1.100000,22.900000,4,4.500000,4.400000,2.600000,6.200000,3.600000,3.300000,6.500000,4.300000,9.200000,4.600000,5.500000,0.200000,0.100000,6.300000,4.200000,34.300000,,4.600000,3.300000,89.300000,1.900000,62
2023/01/03 11:00:00+00,5.300000,52.200000,17.900000,52.700000,125.300000,82.900000,6.500000,8.600000,65,57.100000,72.300000,5.200000,55.900000,10.100000,5.100000,4.500000,1.300000,31.600000,4.100000,4.200000,5.300000,2.400000,6.500000,3.100000,3,6.700000,3.400000,,5.400000,5.500000,0.100000,0.200000,7.300000,6.100000,25,,5.400000,3.500000,88.900000,2,63
2023/01/03 12:00:00+00,6.100000,44.300000,10.200000,46.200000,110.700000,67.200000,,8,42.900000,43.700000,60.900000,4.500000,29.500000,13.200000,4.300000,3,1.700000,19.100000,3.500000,4.300000,7.300000,2.700000,7.700000,3.200000,2.800000,5,2.700000,,6.600000,4.700000,0.100000,0.200000,6.300000,3.500000,23.400000,,5.700000,3.400000,71.100000,1.600000,64
2023/01/03 13:00:00+00,4.400000,49.600000,19.300000,39.400000,128.800000,61.100000,7.600000,6.300000,39.400000,53.800000,49.600000,3.700000,43.900000,11.100000,4.200000,5,1.300000,18.600000,3.600000,4.100000,4.900000,2.400000,6,2.500000,3,4.600000,2.700000,7.900000,4.500000,4.200000,0.100000,0.400000,6.200000,3.300000,24.300000,,5.400000,2.200000,59.700000,1.700000,65
2023/01/03 14:00:00+00,3,46.500000,22.300000,39.500000,113.800000,83.700000,5.400000,4,37.800000,36.200000,43.600000,3.800000,31.200000,6.200000,3.800000,4.100000,0.600000,12.200000,4,,2.500000,1.700000,4.200000,2.400000,3,4.400000,2.300000,8,2.800000,3,0.100000,0.200000,,3.300000,16,,4.300000,1.900000,61.600000,1.400000,66
