,PA15L:NO,ARG:NO,OPERA:NO,RN20:NO,BP_EST:NO,AUB:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,IVRY:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,RN6:NO,AUT:NO,SOULT:NO,OBJECTID
,Paris stade Lenglen,ARGENTEUIL,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,AUBERVILLIERS,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,IVRY-SUR-SEINE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Route Nationale 6 - MELUN,Boulevard Péripherique Auteuil,Boulevard Soult,0
,PA15L,ARG,OPERA,RN20,BP_EST,AUB,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,IVRY,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,RN6,AUT,SOULT,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2018/02/17 21:00:00+00,45,75,140,,290,162,367,273,211,111,162,73,82,23,87,46,233,84,,177,80,66,78,141,232,82,68,117,0,0,192,162,85,112,49,111,173,145,418,189,1153
2018/02/17 22:00:00+00,56,97,152,,292,136,337,274,129,135,123,26,133,26,104,39,199,99,,120,91,49,88,185,172,61,71,47,0,0,172,199,146,80,79,93,211,117,381,198,1154
2018/02/17 23:00:00+00,69,108,132,,264,37,434,255,42,108,163,26,104,1,124,52,253,149,,89,72,31,89,151,67,68,111,42,0,0,193,219,146,84,70,109,156,86,398,223,1155
2018/02/18 00:00:00+00,76,72,139,,280,50,419,233,41,170,205,33,131,0,106,62,287,140,,93,62,23,77,141,81,92,141,46,0,0,228,182,127,87,94,136,134,78,355,227,1156
2018/02/18 01:00:00+00,70,104,153,,221,81,414,249,133,137,150,25,100,0,176,33,272,122,,63,23,21,76,122,93,115,108,79,3,0,225,93,123,42,91,127,117,57,298,154,1157
2018/02/18 02:00:00+00,94,142,123,,194,75,402,223,102,127,103,7,74,0,114,28,239,46,,15,18,25,87,108,94,94,100,95,3,0,195,72,128,30,51,112,121,38,275,145,1158
2018/02/18 03:00:00+00,84,158,113,,170,48,284,176,66,139,76,9,70,0,117,36,246,25,,5,,23,68,119,55,74,82,58,0,0,150,53,100,18,47,78,99,26,161,139,1159
2018/02/18 04:00:00+00,59,149,82,,162,,253,162,52,113,45,4,27,0,97,12,180,20,,2,21,10,62,60,42,54,47,47,6,0,112,36,76,12,27,45,110,17,105,83,1160
2018/02/18 05:00:00+00,42,161,50,,148,51,198,144,41,57,42,4,19,0,70,3,132,13,,0,17,13,58,69,39,51,22,37,9,0,84,25,53,15,34,42,100,19,77,72,1161
2018/02/18 06:00:00+00,29,103,52,,164,39,264,122,14,66,39,4,13,0,56,4,112,18,,1,21,6,49,44,33,41,38,30,4,0,78,25,53,7,19,38,132,21,85,49,1162
2018/02/18 07:00:00+00,21,77,76,,158,23,247,126,25,59,56,5,13,0,50,12,113,26,,1,36,8,38,23,15,34,69,39,5,0,90,26,85,1,10,74,98,28,122,42,1163
2018/02/18 08:00:00+00,38,65,68,,126,38,243,140,24,69,53,5,17,0,64,9,93,24,,3,47,6,25,33,30,36,43,40,2,2,89,24,66,2,12,37,88,44,76,36,1164
2018/02/18 09:00:00+00,32,63,70,,142,38,211,137,21,90,45,7,23,2,68,11,47,29,,6,51,8,20,39,37,28,27,38,2,2,67,9,91,9,15,18,126,54,93,35,1165
2018/02/18 10:00:00+00,38,49,79,,,36,185,127,13,55,51,8,23,2,72,15,35,23,,7,31,7,16,36,34,23,20,33,2,1,33,11,80,17,16,15,121,54,107,28,1166
2018/02/18 11:00:00+00,29,16,80,,,31,176,121,18,50,50,8,20,6,75,15,31,22,,7,16,5,14,30,28,24,22,30,2,1,25,12,87,12,14,16,73,52,76,25,1167
2018/02/18 12:00:00+00,25,11,86,,,25,151,121,16,53,41,5,15,14,58,9,24,20,,3,6,4,15,27,24,24,19,20,2,2,22,12,81,8,8,12,99,57,89,30,1168
2018/02/18 13:00:00+00,22,13,61,,,19,112,105,9,38,41,4,15,13,50,3,19,7,,1,5,2,11,18,14,17,16,16,1,2,17,6,74,6,5,7,108,34,92,18,1169
2018/02/18 14:00:00+00,9,10,63,,,7,114,90,5,30,30,2,9,9,49,3,13,5,,1,5,1,4,12,8,11,10,12,0,1,10,2,87,4,4,6,99,41,55,13,1170
2018/02/18 15:00:00+00,5,6,76,,,6,113,82,4,33,28,1,5,8,48,2,10,5,,1,5,1,3,9,6,7,4,10,0,0,5,1,75,3,3,5,103,43,81,20,1171
2018/02/18 16:00:00+00,3,5,93,,,5,150,117,2,30,23,1,5,6,46,1,6,3,,0,4,1,3,8,4,5,3,5,0,0,4,1,83,2,2,3,107,68,83,14,1172
2018/02/18 17:00:00+00,2,7,107,,,0,77,141,1,36,24,1,4,3,52,0,3,2,,0,6,1,2,7,3,3,1,3,0,0,3,2,110,1,2,1,96,73,79,5,1173
2018/02/18 18:00:00+00,0,24,100,,,6,173,176,1,34,35,1,5,0,54,0,5,16,,0,7,2,4,13,2,3,1,2,0,0,1,4,106,3,2,1,152,106,176,9,1174
2018/02/18 19:00:00+00,4,23,72,,,13,154,178,3,27,37,1,7,0,27,1,5,22,,0,5,2,4,5,1,6,0,3,0,0,5,5,73,18,4,1,125,175,96,20,1175
2018/02/18 20:00:00+00,0,7,51,,,6,84,138,7,27,27,0,2,0,17,5,7,32,,0,4,1,5,5,1,6,2,3,1,0,4,23,41,49,5,4,114,125,44,19,1176
2018/02/18 21:00:00+00,1,8,46,,,6,87,102,2,16,22,2,1,0,17,2,9,8,,0,6,2,7,5,1,4,2,3,0,0,4,8,42,20,3,4,76,123,42,6,1177
2018/02/18 22:00:00+00,0,2,24,,,8,110,85,1,17,16,1,0,0,17,0,4,3,,0,4,2,11,3,1,2,0,2,0,0,2,4,35,15,2,1,58,62,28,4,1178
2018/02/18 23:00:00+00,0,1,30,,,1,46,65,1,17,13,0,0,1,21,2,4,3,,0,5,0,5,3,0,2,0,4,0,0,5,3,28,4,2,0,71,40,31,3,1179
2018/02/19 00:00:00+00,0,1,28,,,1,41,56,1,17,14,0,0,0,11,0,5,2,,0,7,1,4,3,1,1,1,3,0,0,4,2,25,1,2,0,15,24,31,3,1180
2018/02/19 01:00:00+00,0,2,22,,,1,28,37,1,9,8,0,0,0,17,0,5,1,,0,6,1,4,3,0,1,0,1,0,0,2,1,13,0,1,0,15,18,25,3,1181
2018/02/19 02:00:00+00,0,3,11,,,0,35,23,1,10,6,0,0,0,15,0,4,1,,0,4,1,6,3,0,1,0,3,0,0,2,1,12,0,1,0,30,10,20,3,1182
2018/02/19 03:00:00+00,0,1,8,,,1,56,15,1,9,2,0,0,0,9,0,4,1,,0,2,0,5,3,0,2,0,4,0,0,2,1,8,1,1,0,27,10,16,3,1183
2018/02/19 04:00:00+00,0,3,12,,,1,63,30,2,11,6,1,0,0,10,0,4,1,,0,2,0,5,3,0,3,0,4,0,0,2,2,10,1,1,1,28,20,18,5,1184
2018/02/19 05:00:00+00,1,4,17,,,5,134,63,10,12,21,1,2,0,16,0,6,7,,0,2,2,7,3,0,5,3,5,0,0,4,4,20,0,4,3,99,88,59,10,1185
2018/02/19 06:00:00+00,5,21,44,,,26,270,160,21,32,61,5,14,0,57,2,10,27,,2,4,3,11,10,11,12,7,14,0,0,12,10,64,6,10,7,216,196,169,30,1186
2018/02/19 07:00:00+00,20,29,99,,,51,378,226,26,63,111,7,37,2,88,5,30,41,,4,10,6,14,38,35,37,25,29,0,0,29,5,112,16,36,17,253,313,132,66,1187
2018/02/19 08:00:00+00,45,59,171,,,78,379,256,34,117,138,9,61,8,116,9,60,57,,7,11,6,28,63,60,36,37,51,0,0,55,20,159,26,,16,257,347,145,68,1188
2018/02/19 09:00:00+00,62,65,166,,,69,389,270,37,117,135,11,83,15,160,11,78,57,,9,13,7,24,73,57,33,37,56,1,1,74,13,179,33,15,21,282,249,139,42,1189
2018/02/19 10:00:00+00,55,70,196,,,,365,,26,146,127,14,76,9,170,18,74,40,,6,20,8,17,73,60,38,38,64,5,1,68,18,156,28,17,25,258,261,175,42,1190
2018/02/19 11:00:00+00,45,65,184,,,,312,246,35,180,125,14,72,15,171,18,82,44,,5,22,8,12,72,75,45,50,62,5,1,62,15,,19,20,43,242,226,183,46,1191
2018/02/19 12:00:00+00,35,65,212,,,65,277,211,38,106,138,16,64,16,125,17,87,50,,5,17,6,12,63,43,49,61,75,2,2,,14,,9,21,46,232,204,150,50,1192
2018/02/19 13:00:00+00,31,54,192,,,61,282,210,,101,112,14,52,28,111,10,65,38,,4,22,5,17,53,45,37,45,70,0,0,64,11,187,5,21,24,221,199,145,49,1193
2018/02/19 14:00:00+00,28,50,173,,,40,294,187,26,90,83,12,45,16,112,7,53,33,,4,18,4,7,41,39,27,24,50,0,0,44,8,167,4,17,22,184,217,136,41,1194
2018/02/19 15:00:00+00,13,42,189,,,29,311,184,21,97,94,8,32,9,127,5,47,27,,2,19,3,4,30,34,21,20,33,0,0,37,6,165,4,13,14,166,196,129,29,1195
2018/02/19 16:00:00+00,9,36,164,,,34,299,190,16,74,86,6,34,7,97,4,26,36,18,4,18,3,5,26,17,19,22,24,0,0,40,6,121,5,12,12,152,196,104,48,1196
2018/02/19 17:00:00+00,10,31,210,,,29,273,163,14,79,78,7,46,4,104,7,26,33,15,4,23,4,9,29,12,18,18,19,0,0,41,6,160,4,13,16,202,220,93,38,1197
2018/02/19 18:00:00+00,13,37,157,,,30,270,179,16,56,89,5,44,2,87,5,32,48,16,1,38,3,9,28,10,20,21,18,0,0,38,7,150,4,14,18,171,216,94,32,1198
2018/02/19 19:00:00+00,10,40,163,,,24,269,140,9,63,75,3,38,1,77,3,30,30,16,1,27,3,5,31,9,18,19,15,0,0,29,3,150,3,10,8,156,279,81,27,1199
2018/02/19 20:00:00+00,8,36,97,,,17,238,148,6,56,62,2,27,1,85,2,34,28,10,1,55,2,5,29,10,13,14,21,0,0,26,1,121,2,6,12,115,179,67,17,1200
2018/02/19 21:00:00+00,5,28,63,,,15,185,118,3,51,40,2,17,1,45,1,25,15,5,1,37,1,5,22,9,7,7,25,0,0,19,3,96,1,4,11,124,116,48,10,1201
2018/02/19 22:00:00+00,4,25,52,,,13,127,104,2,38,25,0,12,0,46,0,23,5,4,0,24,1,3,16,5,4,4,13,0,0,15,2,78,3,2,2,106,74,28,7,1202
2018/02/19 23:00:00+00,1,28,47,,,9,53,94,2,30,20,0,6,1,26,0,12,4,3,0,25,1,2,14,3,3,1,8,0,0,10,2,69,1,2,1,56,43,27,8,1203
2018/02/20 00:00:00+00,0,12,22,,,6,46,64,1,29,14,0,6,1,12,0,8,2,3,0,11,0,4,9,0,2,0,6,0,0,6,1,36,1,3,0,45,32,31,5,1204
2018/02/20 01:00:00+00,0,6,20,,,1,22,36,1,8,9,3,1,0,6,0,3,3,2,0,18,1,3,5,0,1,0,4,0,5,3,1,20,0,2,0,9,14,48,3,1205
2018/02/20 02:00:00+00,0,1,13,,,0,18,22,0,9,7,0,0,1,11,0,2,3,2,0,15,1,5,3,0,1,0,2,0,1,1,1,15,1,1,0,12,9,42,3,1206
2018/02/20 03:00:00+00,0,0,12,,,0,28,21,0,12,6,1,1,0,15,0,2,3,2,0,13,0,4,4,0,1,0,3,0,0,0,1,15,0,0,0,14,6,40,3,1207
2018/02/20 04:00:00+00,0,1,9,,,0,44,23,0,9,9,3,1,0,3,0,1,3,1,0,6,0,2,4,0,1,0,2,0,0,1,1,8,0,1,0,26,26,34,3,1208
2018/02/20 05:00:00+00,0,0,18,,,0,118,61,1,13,44,2,7,1,11,0,3,3,2,1,2,0,3,4,2,1,0,4,0,0,2,2,14,0,2,0,72,91,145,4,1209
2018/02/20 06:00:00+00,2,2,40,,,1,146,154,3,46,107,1,9,1,5,0,5,4,7,0,6,0,3,11,4,2,1,9,0,0,1,1,27,5,5,2,168,93,297,23,1210
2018/02/20 07:00:00+00,6,10,101,,,4,188,175,4,125,230,3,21,3,14,0,13,4,14,4,19,0,3,24,30,4,2,17,0,0,4,6,52,17,18,8,232,183,299,75,1211
2018/02/20 08:00:00+00,14,4,123,,,12,195,175,6,115,241,4,34,13,25,3,12,10,24,4,16,1,8,34,69,9,13,28,0,0,7,4,77,26,8,9,226,196,312,35,1212
2018/02/20 09:00:00+00,11,9,136,,,10,203,176,,140,228,5,34,7,25,1,19,7,21,4,11,2,10,35,25,7,10,29,0,4,8,5,61,30,15,10,150,262,314,57,1213
2018/02/20 10:00:00+00,15,14,112,,,9,180,154,6,136,174,5,27,13,,1,14,7,18,5,14,3,9,23,61,10,11,35,0,6,11,5,66,26,10,13,101,191,319,25,1214
2018/02/20 11:00:00+00,17,5,119,,,13,151,124,8,112,146,5,23,17,,3,13,5,19,4,7,2,11,17,57,12,10,28,0,4,9,7,59,17,6,10,112,151,296,32,1215
2018/02/20 12:00:00+00,25,4,110,,,6,162,129,9,81,117,5,21,17,29,2,6,6,15,3,5,2,6,13,26,17,13,14,0,9,7,4,31,12,5,11,53,159,234,32,1216
2018/02/20 13:00:00+00,14,5,93,,97.700000,6,120,107,11,35,91,4,15,13,42,9,5,4,20,4,10,1,7,8,38,15,13,14,1,10,7,4,23,8,7,20,41,146,212,32,1217
2018/02/20 14:00:00+00,9,5,93,,94.500000,4,139,,7,49,84,3,15,8,37,9,5,3,18,3,9,3,9,7,45,13,10,13,0,5,5,5,24,6,9,16,47,128,230,38,1218
2018/02/20 15:00:00+00,7,5,86,,131.500000,4,106,102,4,57,137,6,13,6,43,11,8,4,15,4,8,4,11,8,26,10,8,13,0,2,5,6,32,5,8,14,38,119,262,36,1219
2018/02/20 16:00:00+00,7,2,111,,53,3,106,122,3,45,140,5,20,4,35,12,6,4,12,3,9,3,11,6,19,7,5,18,0,0,4,5,19,5,5,10,31,109,212,35,1220
2018/02/20 17:00:00+00,2,2,104,,140.500000,3,113,124,2,41,182,4,21,2,21,6,5,4,10,4,23,3,6,4,8,6,3,13,0,0,2,3,19,3,3,10,34,138,197,36,1221
2018/02/20 18:00:00+00,1,2,130,,145,1,121,117,2,75,107,8,21,1,13,2,6,3,8,4,21,1,2,4,6,4,1,14,0,0,4,3,24,2,6,8,37,143,165,25,1222
2018/02/20 19:00:00+00,0,1,100,,151.300000,0,71,91,3,39,81,2,14,0,6,1,3,2,6,3,8,2,3,3,3,2,0,9,0,0,2,2,23,1,3,4,36,131,164,12,1223
2018/02/20 20:00:00+00,0,1,59,,68.500000,0,87,72,1,37,59,3,8,1,4,0,2,2,4,2,11,2,0,3,2,2,0,10,0,0,2,4,13,0,2,3,25,58,166,13,1224
2018/02/20 21:00:00+00,0,1,45,,33.300000,0,70,51,1,23,47,1,5,0,11,1,2,1,2,2,8,2,1,3,3,2,0,10,0,0,1,3,6,0,1,3,10,70,160,11,1225
2018/02/20 22:00:00+00,0,1,32,,27,1,46,51,0,17,35,3,3,0,10,0,1,1,1,1,4,1,0,3,2,2,0,8,0,0,1,2,6,0,2,1,7,33,148,10,1226
2018/02/20 23:00:00+00,0,0,37,,48,0,41,50,0,26,31,4,2,0,5,0,1,1,2,1,2,1,0,3,2,2,0,7,0,0,1,1,5,0,2,3,8,26,155,14,1227
2018/02/21 00:00:00+00,0,0,33,,43.300000,1,26,33,2,23,20,1,4,1,6,0,2,1,3,1,2,0,0,3,2,3,0,4,0,0,1,1,7,1,2,2,14,23,128,8,1228
2018/02/21 01:00:00+00,0,1,22,,38.800000,1,22,32,1,11,14,1,6,1,3,0,2,3,4,1,2,0,0,4,1,3,0,5,0,0,1,2,15,0,3,2,16,8,139,8,1229
2018/02/21 02:00:00+00,1,3,20,,32,2,29,25,3,19,10,6,6,1,5,0,3,2,5,1,2,0,0,5,2,7,1,7,0,0,1,4,8,0,8,1,8,9,119,13,1230
2018/02/21 03:00:00+00,2,5,16,,33,3,28,21,9,16,10,6,6,2,7,1,6,2,7,2,3,1,1,7,4,9,3,8,1,0,2,4,11,1,5,4,10,8,129,16,1231
2018/02/21 04:00:00+00,5,5,27,,56,5,45,31,10,19,15,6,5,2,8,1,5,3,11,4,7,1,4,7,6,11,4,12,0,0,2,4,11,4,6,8,15,38,163,21,1232
2018/02/21 05:00:00+00,9,5,29,,113,6,104,51,19,23,46,8,8,4,10,4,10,6,17,4,6,3,5,8,9,13,5,15,0,0,4,5,16,8,10,11,24,101,207,23,1233
2018/02/21 06:00:00+00,12,6,67,,142,10,183,122,24,37,115,19,15,7,22,7,25,11,27,6,12,7,11,14,15,22,9,42,0,0,8,12,21,18,18,20,38,163,288,45,1234
2018/02/21 07:00:00+00,16,7,112,,146,13,191,166,22,59,209,29,34,11,29,14,28,6,32,10,14,10,18,21,59,27,14,43,2,0,10,10,33,20,22,30,66,217,305,99,1235
2018/02/21 08:00:00+00,23,11,133,,126,19,152,197,28,80,225,21,47,16,38,21,21,17,33,16,21,15,23,22,82,29,23,40,7,3,14,16,44,35,25,35,68,169,293,83,1236
2018/02/21 09:00:00+00,21,10,127,,183,21,147,194,30,119,193,18,49,14,37,22,17,10,43,14,16,13,26,24,62,30,27,31,10,7,15,13,69,28,26,33,80,147,309,53,1237
2018/02/21 10:00:00+00,18,8,119,,234,16,116,147,18,240,169,14,29,14,27,17,15,19,25,11,11,12,24,15,56,22,21,27,9,13,12,10,47,16,20,17,97,135,283,32,1238
2018/02/21 11:00:00+00,16,7,109,,219,12,130,125,17,67,130,11,30,12,20,15,12,13,20,9,9,8,18,,37,16,16,22,7,12,10,10,26,12,18,15,84,114,282,32,1239
2018/02/21 12:00:00+00,13,6,107,,177,10,123,126,11,67,98,7,18,11,17,9,11,7,17,7,10,6,9,,23,16,12,16,5,7,8,8,28,9,11,15,61,129,261,24,1240
2018/02/21 13:00:00+00,10,7,83,,124,7,103,120,8,43,93,5,17,8,19,8,12,6,14,6,11,4,9,9,48,9,11,14,4,6,6,6,35,7,12,10,47,120,256,16,1241
2018/02/21 14:00:00+00,9,9,83,,147,7,104,98,8,58,114,7,14,8,14,6,11,6,,5,8,4,14,9,34,10,9,,2,4,7,5,47,8,8,10,39,96,246,19,1242
2018/02/21 15:00:00+00,9,8,92,,115,5,88,99,8,55,97,5,17,9,21,5,10,6,,5,8,3,10,8,21,,9,,1,3,7,4,26,5,8,11,52,104,201,20,1243
2018/02/21 16:00:00+00,8,4,103,,97,4,89,98,6,49,99,5,20,6,18,5,9,,12,5,8,3,5,7,18,,5,,1,2,6,6,14,5,7,12,34,119,197,24,1244
2018/02/21 17:00:00+00,4,3,117,,83,4,78,109,4,55,115,5,19,4,20,3,9,4,9,4,12,3,2,7,17,,4,,0,1,4,3,17,5,6,10,31,166,167,37,1245
2018/02/21 18:00:00+00,2,2,118,,65,2,99,103,2,54,105,6,20,1,19,1,6,3,8,4,16,2,2,6,12,,2,,0,0,3,4,15,4,4,9,24,172,170,45,1246
2018/02/21 19:00:00+00,3,3,99,,70,1,96,113,5,49,89,9,19,1,18,2,7,3,9,4,11,2,5,8,12,,1,,0,0,4,3,12,3,4,8,27,129,155,27,1247
2018/02/21 20:00:00+00,2,2,79,,61,2,72,94,4,49,85,2,13,2,20,2,5,3,8,3,15,2,1,7,9,,1,,0,0,3,3,11,3,4,7,31,88,175,21,1248
2018/02/21 21:00:00+00,1,1,58,,61,2,53,64,3,35,59,2,7,1,11,1,4,2,6,3,7,1,1,5,7,,1,,0,0,2,2,8,3,3,5,27,105,144,14,1249
2018/02/21 22:00:00+00,1,1,47,,65,1,47,49,2,24,34,1,4,0,8,1,2,2,4,1,5,1,1,4,3,,1,,0,0,2,1,8,0,2,3,46,104,174,5,1250
2018/02/21 23:00:00+00,1,0,43,,60,1,57,54,3,30,45,2,2,0,8,0,1,1,3,1,3,0,2,4,2,,0,,0,0,1,1,6,0,2,2,36,55,120,4,1251
2018/02/22 00:00:00+00,0,0,35,,36,0,42,34,0,17,24,2,3,0,3,0,2,1,2,1,1,0,1,3,1,,0,,0,0,1,2,10,0,2,2,35,29,114,6,1252
2018/02/22 01:00:00+00,0,0,18,,19,0,32,23,1,16,16,1,1,0,5,0,2,1,2,1,1,1,0,4,1,,0,,0,0,1,1,3,0,2,1,10,9,107,8,1253
2018/02/22 02:00:00+00,0,1,11,,20,0,20,17,1,16,14,2,1,1,7,0,2,1,2,1,1,1,0,3,1,,0,,0,0,0,1,3,0,2,1,8,10,85,5,1254
2018/02/22 03:00:00+00,0,1,13,,38,1,23,17,1,11,7,1,2,1,7,0,1,1,2,1,1,1,1,4,1,,0,,0,0,1,1,3,0,1,1,13,9,86,4,1255
2018/02/22 04:00:00+00,0,13,10,,28,0,35,24,1,19,14,2,1,0,3,0,2,1,4,1,1,1,1,3,1,,0,,0,0,1,2,5,0,2,1,12,26,129,5,1256
2018/02/22 05:00:00+00,2,10,24,,75,2,116,39,8,14,55,2,5,1,6,0,6,3,6,2,2,2,1,4,2,,0,,0,0,1,2,6,0,3,3,24,98,195,13,1257
2018/02/22 06:00:00+00,7,5,57,,80,4,221,109,13,26,104,7,14,1,18,1,19,6,20,3,6,2,2,8,8,,2,,0,0,3,4,15,4,9,8,30,153,274,32,1258
2018/02/22 07:00:00+00,13,5,114,,140,10,204,185,30,109,195,24,29,5,20,5,21,11,41,6,15,4,6,15,42,,11,,0,0,6,6,45,19,18,25,64,230,271,102,1259
2018/02/22 08:00:00+00,20,8,111,,149,21,167,190,32,146,292,19,47,10,30,13,21,37,40,10,22,8,19,27,98,,27,,1,2,10,8,72,25,21,28,78,280,257,76,1260
2018/02/22 09:00:00+00,19,12,152,,194,20,167,170,22,132,209,18,43,13,29,14,19,11,29,11,16,7,26,29,50,,25,,2,10,14,11,85,19,24,18,66,193,328,38,1261
2018/02/22 10:00:00+00,20,10,116,,147,15,111,119,13,133,189,11,30,13,21,9,15,7,21,7,16,4,16,25,36,,16,,2,13,11,9,84,16,15,14,67,101,323,23,1262
2018/02/22 11:00:00+00,17,8,99,,139,11,101,112,11,73,131,7,24,12,20,7,12,7,16,6,13,3,11,18,60,,13,,1,12,8,6,42,13,12,10,55,108,296,21,1263
2018/02/22 12:00:00+00,12,4,98,,131,6,85,105,10,70,116,6,21,9,14,6,12,5,15,5,14,4,9,12,16,,11,,1,10,7,7,44,9,9,10,57,95,,21,1264
2018/02/22 13:00:00+00,7,6,83,,108,5,90,89,6,57,186,3,13,5,12,5,8,4,11,4,10,2,4,9,45,,7,,1,6,6,4,33,6,8,7,39,86,273,13,1265
2018/02/22 14:00:00+00,7,6,80,,118,4,86,83,7,55,154,3,14,4,10,3,15,,10,3,8,2,3,7,44,,6,,1,4,3,4,40,4,6,5,49,71,265,12,1266
2018/02/22 15:00:00+00,5,4,82,,138,4,72,81,5,80,69,2,13,4,9,2,6,,8,3,6,2,3,7,50,,5,,0,2,3,3,28,3,5,4,54,42,230,12,1267
2018/02/22 16:00:00+00,3,2,92,,,3,71,82,4,58,88,3,17,2,7,1,5,3,7,2,8,1,3,5,36,,3,,0,1,2,2,17,2,5,5,67,41,210,11,1268
2018/02/22 17:00:00+00,2,2,96,,,2,111,81,3,39,78,2,14,1,7,1,4,3,6,3,11,1,3,5,7,,2,,0,0,2,3,19,2,5,3,73,91,180,13,1269
2018/02/22 18:00:00+00,2,1,146,,,1,99,103,4,56,110,1,16,1,8,0,4,3,8,4,14,0,2,5,9,,1,,0,0,3,3,21,4,6,3,47,76,186,16,1270
2018/02/22 19:00:00+00,2,2,140,,,2,77,122,12,67,107,4,18,1,9,0,4,3,16,3,12,1,1,6,10,,1,,0,0,2,3,31,2,7,5,45,118,169,29,1271
2018/02/22 20:00:00+00,2,1,82,,,2,52,75,4,37,79,2,10,1,6,1,3,2,8,3,7,1,2,6,4,,2,,0,0,2,2,29,1,4,3,52,64,194,8,1272
2018/02/22 21:00:00+00,1,1,54,,,2,69,42,3,38,39,3,12,0,4,1,3,2,5,2,5,0,2,7,1,,0,,0,0,1,2,24,1,3,2,45,52,150,8,1273
2018/02/22 22:00:00+00,1,1,55,,,2,55,36,2,26,43,2,10,0,4,0,2,1,4,2,2,1,1,8,1,,0,,0,0,1,1,22,0,3,2,46,75,152,7,1274
2018/02/22 23:00:00+00,1,0,48,,,2,49,50,2,24,39,2,6,1,3,0,2,1,3,2,2,0,1,6,1,,0,,0,0,0,1,21,0,2,1,35,35,158,6,1275
2018/02/23 00:00:00+00,1,0,38,,,2,42,42,1,32,25,1,5,0,4,0,1,1,3,1,1,0,0,6,2,,0,,0,0,1,1,17,0,3,1,24,18,113,5,1276
2018/02/23 01:00:00+00,0,0,25,,,0,37,23,1,24,15,0,4,0,3,0,1,1,2,1,1,0,0,5,1,,0,,0,0,1,1,12,0,1,1,15,5,80,4,1277
2018/02/23 02:00:00+00,0,0,19,,,1,27,23,0,13,10,1,3,0,3,0,1,1,1,1,1,0,0,5,0,,0,,0,0,0,1,7,0,2,0,15,5,47,3,1278
2018/02/23 03:00:00+00,0,0,12,,,0,23,21,1,11,8,1,1,1,3,0,1,1,1,0,0,0,0,4,0,,0,,0,0,1,1,4,0,1,0,18,8,38,4,1279
2018/02/23 04:00:00+00,0,0,14,,,2,30,21,0,15,12,1,1,0,2,0,1,1,4,2,1,0,0,4,0,,1,,0,0,1,1,5,0,2,0,27,16,75,4,1280
